,0,1,2
33,EPLDay_HEVC_SFR_540p_1100K_8.y4m,200,201
34,EPLDay_AVC_HFR_288p_300K_8.y4m,400,401
35,EPLDay_AVC_HFR_396p_600K_8.y4m,400,401
36,EPLDay_AVC_HFR_396p_900K_8.y4m,400,401
37,EPLDay_AVC_HFR_540p_1300K_8.y4m,400,401
38,EPLDay_AVC_SFR_288p_200K_8.y4m,200,201
39,EPLDay_AVC_HFR_540p_1900K_8.y4m,400,401
40,EPLDay_AVC_SFR_396p_400K_8.y4m,200,201
41,EPLDay_AVC_HFR_720p_2200K_8.y4m,400,401
42,EPLDay_AVC_SFR_396p_800K_8.y4m,200,201
43,EPLDay_AVC_SFR_540p_1200K_8.y4m,200,201
44,EPLDay_AVC_SFR_540p_1800K_8.y4m,200,201
45,EPLDay_AVC_SFR_720p_2000K_8.y4m,200,201
46,EPLDay_HEVC_HFR_720p_2200K_8.y4m,400,401
47,EPLDay_HEVC_SFR_720p_2200K_8.y4m,200,201
48,EPLNight_HEVC_HFR_288p_300K_0.y4m,400,401
49,EPLNight_HEVC_HFR_396p_600K_0.y4m,400,401
50,EPLNight_HEVC_HFR_396p_900K_0.y4m,400,401
51,EPLNight_HEVC_HFR_540p_1100K_0.y4m,400,401
52,EPLNight_HEVC_HFR_540p_1900K_0.y4m,400,401
53,EPLNight_HEVC_SFR_288p_300K_0.y4m,200,201
54,EPLNight_HEVC_SFR_396p_600K_0.y4m,200,201
55,EPLNight_HEVC_SFR_540p_1100K_0.y4m,200,201
56,EPLNight_HEVC_SFR_396p_900K_0.y4m,200,201
57,EPLNight_AVC_HFR_288p_300K_0.y4m,400,401
58,EPLNight_AVC_HFR_396p_600K_0.y4m,400,401
59,EPLNight_AVC_HFR_396p_900K_0.y4m,400,401
60,EPLNight_AVC_SFR_288p_200K_0.y4m,200,201
61,EPLNight_AVC_HFR_540p_1300K_0.y4m,400,401
62,EPLNight_AVC_SFR_396p_400K_0.y4m,200,201
63,EPLNight_AVC_HFR_540p_1900K_0.y4m,400,401
64,EPLNight_AVC_HFR_720p_2200K_0.y4m,400,401
65,EPLNight_AVC_SFR_396p_800K_0.y4m,200,201
66,EPLNight_AVC_SFR_540p_1200K_0.y4m,200,201
67,EPLNight_HEVC_SFR_720p_2200K_0.y4m,200,201
68,EPLNight_AVC_SFR_540p_1800K_0.y4m,200,201
69,EPLNight_AVC_SFR_720p_2000K_0.y4m,200,201
70,EPLNight_HEVC_HFR_720p_2200K_0.y4m,400,401
71,EPLNight_HEVC_SFR_540p_1900K_0.y4m,200,201
72,USOpen_AVC_HFR_288p_300K_0.y4m,400,401
73,USOpen_AVC_HFR_396p_600K_0.y4m,400,401
74,USOpen_AVC_HFR_396p_900K_0.y4m,400,401
75,USOpen_AVC_HFR_540p_1300K_0.y4m,400,401
76,USOpen_AVC_SFR_288p_200K_0.y4m,200,201
77,USOpen_AVC_SFR_396p_400K_0.y4m,200,201
78,USOpen_AVC_SFR_396p_800K_0.y4m,200,201
79,USOpen_AVC_SFR_540p_1200K_0.y4m,200,201
80,USOpen_AVC_SFR_540p_1800K_0.y4m,200,201
81,USOpen_AVC_SFR_720p_2000K_0.y4m,200,201
82,USOpen_AVC_HFR_540p_1900K_0.y4m,400,401
83,USOpen_AVC_HFR_720p_2200K_0.y4m,400,401
84,USOpen_HEVC_HFR_288p_300K_0.y4m,400,401
85,USOpen_HEVC_HFR_396p_600K_0.y4m,400,401
86,USOpen_HEVC_HFR_720p_2200K_0.y4m,400,401
87,USOpen_HEVC_HFR_396p_900K_0.y4m,400,401
88,USOpen_HEVC_SFR_720p_2200K_0.y4m,200,201
89,USOpen_HEVC_SFR_288p_300K_0.y4m,200,201
90,USOpen_HEVC_HFR_540p_1100K_0.y4m,400,401
91,USOpen_HEVC_SFR_396p_600K_0.y4m,200,201
92,USOpen_HEVC_SFR_396p_900K_0.y4m,200,201
93,USOpen_HEVC_HFR_540p_1900K_0.y4m,400,401
94,USOpen_HEVC_SFR_540p_1100K_0.y4m,200,201
95,USOpen_HEVC_SFR_540p_1900K_0.y4m,200,201
96,USOpen_AVC_HFR_288p_300K_166.y4m,400,401
97,USOpen_AVC_HFR_396p_600K_166.y4m,400,401
98,USOpen_AVC_HFR_396p_900K_166.y4m,400,401
99,USOpen_AVC_HFR_540p_1300K_166.y4m,400,401
100,USOpen_AVC_SFR_288p_200K_166.y4m,200,201
101,USOpen_AVC_SFR_396p_400K_166.y4m,200,201
102,USOpen_AVC_SFR_396p_800K_166.y4m,200,201
103,USOpen_AVC_SFR_540p_1200K_166.y4m,200,201
104,USOpen_AVC_SFR_540p_1800K_166.y4m,200,201
105,USOpen_AVC_SFR_720p_2000K_166.y4m,200,201
106,USOpen_AVC_HFR_540p_1900K_166.y4m,400,401
107,USOpen_AVC_HFR_720p_2200K_166.y4m,400,401
108,USOpen_HEVC_HFR_288p_300K_166.y4m,400,401
109,USOpen_HEVC_HFR_396p_600K_166.y4m,400,401
110,USOpen_HEVC_HFR_720p_2200K_166.y4m,400,401
111,USOpen_HEVC_HFR_396p_900K_166.y4m,400,401
112,USOpen_HEVC_SFR_720p_2200K_166.y4m,200,201
113,USOpen_HEVC_SFR_288p_300K_166.y4m,200,201
114,USOpen_HEVC_HFR_540p_1100K_166.y4m,400,401
115,USOpen_HEVC_SFR_396p_600K_166.y4m,200,201
116,USOpen_HEVC_SFR_396p_900K_166.y4m,200,201
117,USOpen_HEVC_HFR_540p_1900K_166.y4m,400,401
118,USOpen_HEVC_SFR_540p_1100K_166.y4m,200,201
119,USOpen_HEVC_SFR_540p_1900K_166.y4m,200,201
120,Cricket1_AVC_HFR_288p_300K_86.y4m,400,401
121,Cricket1_AVC_SFR_288p_200K_86.y4m,200,201
122,Cricket1_AVC_HFR_396p_600K_86.y4m,400,401
123,Cricket1_AVC_SFR_396p_400K_86.y4m,200,201
124,Cricket1_AVC_SFR_396p_800K_86.y4m,200,201
125,Cricket1_AVC_HFR_396p_900K_86.y4m,400,401
126,Cricket1_AVC_SFR_540p_1200K_86.y4m,200,201
127,Cricket1_AVC_SFR_540p_1800K_86.y4m,200,201
128,Cricket1_AVC_SFR_720p_2000K_86.y4m,200,201
129,Cricket1_AVC_HFR_540p_1300K_86.y4m,400,401
130,Cricket1_HEVC_HFR_288p_300K_86.y4m,400,401
131,Cricket1_HEVC_HFR_396p_600K_86.y4m,400,401
132,Cricket1_AVC_HFR_540p_1900K_86.y4m,400,401
133,Cricket1_AVC_HFR_720p_2200K_86.y4m,400,401
134,Cricket1_HEVC_HFR_396p_900K_86.y4m,400,401
135,Cricket1_HEVC_SFR_288p_300K_86.y4m,200,201
136,Cricket1_HEVC_HFR_540p_1100K_86.y4m,400,401
137,Cricket1_HEVC_SFR_396p_600K_86.y4m,200,201
138,Cricket1_HEVC_HFR_720p_2200K_86.y4m,400,401
139,Cricket1_HEVC_SFR_396p_900K_86.y4m,200,201
140,Cricket1_HEVC_HFR_540p_1900K_86.y4m,400,401
141,Cricket1_HEVC_SFR_540p_1100K_86.y4m,200,201
142,Cricket1_HEVC_SFR_540p_1900K_86.y4m,200,201
143,Cricket1_HEVC_SFR_720p_2200K_86.y4m,200,201
144,Cricket2_AVC_HFR_288p_300K_90.y4m,400,401
145,Cricket2_AVC_HFR_396p_600K_90.y4m,400,401
146,Cricket2_AVC_HFR_396p_900K_90.y4m,400,401
147,Cricket2_AVC_SFR_288p_200K_90.y4m,200,201
148,Cricket2_AVC_HFR_540p_1300K_90.y4m,400,401
149,Cricket2_AVC_SFR_396p_400K_90.y4m,200,201
150,Cricket2_AVC_SFR_396p_800K_90.y4m,200,201
151,Cricket2_AVC_HFR_540p_1900K_90.y4m,400,401
152,Cricket2_AVC_SFR_540p_1200K_90.y4m,200,201
153,Cricket2_HEVC_HFR_288p_300K_90.y4m,400,401
154,Cricket2_AVC_HFR_720p_2200K_90.y4m,400,401
155,Cricket2_AVC_SFR_540p_1800K_90.y4m,200,201
156,Cricket2_HEVC_HFR_396p_600K_90.y4m,400,401
157,Cricket2_AVC_SFR_720p_2000K_90.y4m,200,201
158,Cricket2_HEVC_HFR_396p_900K_90.y4m,400,401
159,Cricket2_HEVC_SFR_288p_300K_90.y4m,200,201
160,Cricket2_HEVC_HFR_540p_1100K_90.y4m,400,401
161,Cricket2_HEVC_SFR_396p_600K_90.y4m,200,201
162,Cricket2_HEVC_HFR_720p_2200K_90.y4m,400,401
163,Cricket2_HEVC_SFR_396p_900K_90.y4m,200,201
164,Cricket2_HEVC_HFR_540p_1900K_90.y4m,400,401
165,Cricket2_HEVC_SFR_540p_1100K_90.y4m,200,201
166,Cricket2_HEVC_SFR_540p_1900K_90.y4m,200,201
167,Cricket2_HEVC_SFR_720p_2200K_90.y4m,200,201
168,EPLDay_HEVC_HFR_288p_300K_20.y4m,400,401
169,EPLDay_HEVC_HFR_540p_1900K_20.y4m,400,401
170,EPLDay_HEVC_HFR_396p_900K_20.y4m,400,401
171,EPLDay_HEVC_HFR_396p_600K_20.y4m,400,401
172,EPLDay_HEVC_HFR_540p_1100K_20.y4m,400,401
173,EPLDay_HEVC_SFR_288p_300K_20.y4m,200,201
174,EPLDay_HEVC_SFR_396p_900K_20.y4m,200,201
175,EPLDay_HEVC_SFR_396p_600K_20.y4m,200,201
176,EPLDay_HEVC_SFR_540p_1900K_20.y4m,200,201
177,EPLDay_HEVC_SFR_540p_1100K_20.y4m,200,201
178,EPLDay_AVC_HFR_288p_300K_20.y4m,400,401
179,EPLDay_AVC_HFR_396p_600K_20.y4m,400,401
180,EPLDay_AVC_HFR_396p_900K_20.y4m,400,401
181,EPLDay_AVC_HFR_540p_1300K_20.y4m,400,401
182,EPLDay_AVC_SFR_288p_200K_20.y4m,200,201
183,EPLDay_AVC_HFR_540p_1900K_20.y4m,400,401
184,EPLDay_AVC_SFR_396p_400K_20.y4m,200,201
185,EPLDay_AVC_HFR_720p_2200K_20.y4m,400,401
186,EPLDay_AVC_SFR_396p_800K_20.y4m,200,201
187,EPLDay_AVC_SFR_540p_1200K_20.y4m,200,201
188,EPLDay_AVC_SFR_540p_1800K_20.y4m,200,201
189,EPLDay_AVC_SFR_720p_2000K_20.y4m,200,201
190,EPLDay_HEVC_HFR_720p_2200K_20.y4m,400,401
191,EPLDay_HEVC_SFR_720p_2200K_20.y4m,200,201
192,EPLDay_HEVC_HFR_288p_300K_48.y4m,400,401
193,EPLDay_HEVC_HFR_540p_1900K_48.y4m,400,401
194,EPLDay_HEVC_HFR_396p_900K_48.y4m,400,401
195,EPLDay_HEVC_HFR_396p_600K_48.y4m,400,401
196,EPLDay_HEVC_HFR_540p_1100K_48.y4m,400,401
197,EPLDay_HEVC_SFR_288p_300K_48.y4m,200,201
198,EPLDay_HEVC_SFR_396p_900K_48.y4m,200,201
199,EPLDay_HEVC_SFR_396p_600K_48.y4m,200,201
200,EPLDay_HEVC_SFR_540p_1900K_48.y4m,200,201
201,EPLDay_HEVC_SFR_540p_1100K_48.y4m,200,201
202,EPLDay_AVC_HFR_288p_300K_48.y4m,400,401
203,EPLDay_AVC_HFR_396p_600K_48.y4m,400,401
204,EPLDay_AVC_HFR_396p_900K_48.y4m,400,401
205,EPLDay_AVC_HFR_540p_1300K_48.y4m,400,401
206,EPLDay_AVC_SFR_288p_200K_48.y4m,200,201
207,EPLDay_AVC_HFR_540p_1900K_48.y4m,400,401
208,EPLDay_AVC_SFR_396p_400K_48.y4m,200,201
209,EPLDay_AVC_HFR_720p_2200K_48.y4m,400,401
210,EPLDay_AVC_SFR_396p_800K_48.y4m,200,201
211,EPLDay_AVC_SFR_540p_1200K_48.y4m,200,201
212,EPLDay_AVC_SFR_540p_1800K_48.y4m,200,201
213,EPLDay_AVC_SFR_720p_2000K_48.y4m,200,201
214,EPLDay_HEVC_HFR_720p_2200K_48.y4m,400,401
215,EPLDay_HEVC_SFR_720p_2200K_48.y4m,200,201
216,EPLNight_HEVC_HFR_288p_300K_20.y4m,400,401
217,EPLNight_HEVC_HFR_396p_600K_20.y4m,400,401
218,EPLNight_HEVC_HFR_396p_900K_20.y4m,400,401
219,EPLNight_HEVC_HFR_540p_1100K_20.y4m,400,401
220,EPLNight_HEVC_HFR_540p_1900K_20.y4m,400,401
221,EPLNight_HEVC_SFR_288p_300K_20.y4m,200,201
222,EPLNight_HEVC_SFR_396p_600K_20.y4m,200,201
223,EPLNight_HEVC_SFR_540p_1100K_20.y4m,200,201
224,EPLNight_HEVC_SFR_396p_900K_20.y4m,200,201
225,EPLNight_AVC_HFR_288p_300K_20.y4m,400,401
226,EPLNight_AVC_HFR_396p_600K_20.y4m,400,401
227,EPLNight_AVC_HFR_396p_900K_20.y4m,400,401
228,EPLNight_AVC_SFR_288p_200K_20.y4m,200,201
229,EPLNight_AVC_HFR_540p_1300K_20.y4m,400,401
230,EPLNight_AVC_SFR_396p_400K_20.y4m,200,201
231,EPLNight_AVC_HFR_540p_1900K_20.y4m,400,401
232,EPLNight_AVC_HFR_720p_2200K_20.y4m,400,401
233,EPLNight_AVC_SFR_396p_800K_20.y4m,200,201
234,EPLNight_AVC_SFR_540p_1200K_20.y4m,200,201
235,EPLNight_HEVC_SFR_720p_2200K_20.y4m,200,201
236,EPLNight_AVC_SFR_540p_1800K_20.y4m,200,201
237,EPLNight_AVC_SFR_720p_2000K_20.y4m,200,201
238,EPLNight_HEVC_HFR_720p_2200K_20.y4m,400,401
239,EPLNight_HEVC_SFR_540p_1900K_20.y4m,200,201
240,USOpen_AVC_HFR_288p_300K_12.y4m,400,401
241,USOpen_AVC_HFR_396p_600K_12.y4m,400,401
242,USOpen_AVC_HFR_396p_900K_12.y4m,400,401
243,USOpen_AVC_HFR_540p_1300K_12.y4m,400,401
244,USOpen_AVC_SFR_288p_200K_12.y4m,200,201
245,USOpen_AVC_SFR_396p_400K_12.y4m,200,201
246,USOpen_AVC_SFR_396p_800K_12.y4m,200,201
247,USOpen_AVC_SFR_540p_1200K_12.y4m,200,201
248,USOpen_AVC_SFR_540p_1800K_12.y4m,200,201
249,USOpen_AVC_SFR_720p_2000K_12.y4m,200,201
250,USOpen_AVC_HFR_540p_1900K_12.y4m,400,401
251,USOpen_AVC_HFR_720p_2200K_12.y4m,400,401
252,USOpen_HEVC_HFR_288p_300K_12.y4m,400,401
253,USOpen_HEVC_HFR_396p_600K_12.y4m,400,401
254,USOpen_HEVC_HFR_720p_2200K_12.y4m,400,401
255,USOpen_HEVC_HFR_396p_900K_12.y4m,400,401
256,USOpen_HEVC_SFR_720p_2200K_12.y4m,200,201
257,USOpen_HEVC_SFR_288p_300K_12.y4m,200,201
258,USOpen_HEVC_HFR_540p_1100K_12.y4m,400,401
259,USOpen_HEVC_SFR_396p_600K_12.y4m,200,201
260,USOpen_HEVC_SFR_396p_900K_12.y4m,200,201
261,USOpen_HEVC_HFR_540p_1900K_12.y4m,400,401
262,USOpen_HEVC_SFR_540p_1100K_12.y4m,200,201
263,USOpen_HEVC_SFR_540p_1900K_12.y4m,200,201
264,USOpen_AVC_HFR_288p_300K_176.y4m,400,401
265,USOpen_AVC_HFR_396p_600K_176.y4m,400,401
266,USOpen_AVC_HFR_396p_900K_176.y4m,400,401
267,USOpen_AVC_HFR_540p_1300K_176.y4m,400,401
268,USOpen_AVC_SFR_288p_200K_176.y4m,200,201
269,USOpen_AVC_SFR_396p_400K_176.y4m,200,201
270,USOpen_AVC_SFR_396p_800K_176.y4m,200,201
271,USOpen_AVC_SFR_540p_1200K_176.y4m,200,201
272,USOpen_AVC_SFR_540p_1800K_176.y4m,200,201
273,USOpen_AVC_SFR_720p_2000K_176.y4m,200,201
274,USOpen_AVC_HFR_540p_1900K_176.y4m,400,401
275,USOpen_AVC_HFR_720p_2200K_176.y4m,400,401
276,USOpen_HEVC_HFR_288p_300K_176.y4m,400,401
277,USOpen_HEVC_HFR_396p_600K_176.y4m,400,401
278,USOpen_HEVC_HFR_720p_2200K_176.y4m,400,401
279,USOpen_HEVC_HFR_396p_900K_176.y4m,400,401
280,USOpen_HEVC_SFR_720p_2200K_176.y4m,200,201
281,USOpen_HEVC_SFR_288p_300K_176.y4m,200,201
282,USOpen_HEVC_HFR_540p_1100K_176.y4m,400,401
283,USOpen_HEVC_SFR_396p_600K_176.y4m,200,201
284,USOpen_HEVC_SFR_396p_900K_176.y4m,200,201
285,USOpen_HEVC_HFR_540p_1900K_176.y4m,400,401
286,USOpen_HEVC_SFR_540p_1100K_176.y4m,200,201
287,USOpen_HEVC_SFR_540p_1900K_176.y4m,200,201
288,Cricket1_AVC_HFR_288p_300K_198.y4m,400,401
289,Cricket1_AVC_SFR_288p_200K_198.y4m,200,201
290,Cricket1_AVC_HFR_396p_600K_198.y4m,400,401
291,Cricket1_AVC_SFR_396p_400K_198.y4m,200,201
292,Cricket1_AVC_SFR_396p_800K_198.y4m,200,201
293,Cricket1_AVC_HFR_396p_900K_198.y4m,400,401
294,Cricket1_AVC_SFR_540p_1200K_198.y4m,200,201
295,Cricket1_AVC_SFR_540p_1800K_198.y4m,200,201
296,Cricket1_AVC_SFR_720p_2000K_198.y4m,200,201
297,Cricket1_AVC_HFR_540p_1300K_198.y4m,400,401
298,Cricket1_HEVC_HFR_288p_300K_198.y4m,400,401
299,Cricket1_HEVC_HFR_396p_600K_198.y4m,400,401
300,Cricket1_AVC_HFR_540p_1900K_198.y4m,400,401
301,Cricket1_AVC_HFR_720p_2200K_198.y4m,400,401
302,Cricket1_HEVC_HFR_396p_900K_198.y4m,400,401
303,Cricket1_HEVC_SFR_288p_300K_198.y4m,200,201
304,Cricket1_HEVC_HFR_540p_1100K_198.y4m,400,401
305,Cricket1_HEVC_SFR_396p_600K_198.y4m,200,201
306,Cricket1_HEVC_HFR_720p_2200K_198.y4m,400,401
307,Cricket1_HEVC_SFR_396p_900K_198.y4m,200,201
308,Cricket1_HEVC_HFR_540p_1900K_198.y4m,400,401
309,Cricket1_HEVC_SFR_540p_1100K_198.y4m,200,201
310,Cricket1_HEVC_SFR_540p_1900K_198.y4m,200,201
311,Cricket1_HEVC_SFR_720p_2200K_198.y4m,200,201
312,Cricket2_AVC_HFR_288p_300K_120.y4m,400,401
313,Cricket2_AVC_HFR_396p_600K_120.y4m,400,401
314,Cricket2_AVC_HFR_396p_900K_120.y4m,400,401
315,Cricket2_AVC_SFR_288p_200K_120.y4m,200,201
316,Cricket2_AVC_HFR_540p_1300K_120.y4m,400,401
317,Cricket2_AVC_SFR_396p_400K_120.y4m,200,201
318,Cricket2_AVC_SFR_396p_800K_120.y4m,200,201
319,Cricket2_AVC_HFR_540p_1900K_120.y4m,400,401
320,Cricket2_AVC_SFR_540p_1200K_120.y4m,200,201
321,Cricket2_HEVC_HFR_288p_300K_120.y4m,400,401
322,Cricket2_AVC_HFR_720p_2200K_120.y4m,400,401
323,Cricket2_AVC_SFR_540p_1800K_120.y4m,200,201
324,Cricket2_HEVC_HFR_396p_600K_120.y4m,400,401
325,Cricket2_AVC_SFR_720p_2000K_120.y4m,200,201
326,Cricket2_HEVC_HFR_396p_900K_120.y4m,400,401
327,Cricket2_HEVC_SFR_288p_300K_120.y4m,200,201
328,Cricket2_HEVC_HFR_540p_1100K_120.y4m,400,401
329,Cricket2_HEVC_SFR_396p_600K_120.y4m,200,201
330,Cricket2_HEVC_HFR_720p_2200K_120.y4m,400,401
331,Cricket2_HEVC_SFR_396p_900K_120.y4m,200,201
332,Cricket2_HEVC_HFR_540p_1900K_120.y4m,400,401
333,Cricket2_HEVC_SFR_540p_1100K_120.y4m,200,201
334,Cricket2_HEVC_SFR_540p_1900K_120.y4m,200,201
335,Cricket2_HEVC_SFR_720p_2200K_120.y4m,200,201
336,EPLDay_HEVC_HFR_288p_300K_74.y4m,400,401
337,EPLDay_HEVC_HFR_540p_1900K_74.y4m,400,401
338,EPLDay_HEVC_HFR_396p_900K_74.y4m,400,401
339,EPLDay_HEVC_HFR_396p_600K_74.y4m,400,401
340,EPLDay_HEVC_HFR_540p_1100K_74.y4m,400,401
341,EPLDay_HEVC_SFR_288p_300K_74.y4m,200,201
342,EPLDay_HEVC_SFR_396p_900K_74.y4m,200,201
343,EPLDay_HEVC_SFR_396p_600K_74.y4m,200,201
344,EPLDay_HEVC_SFR_540p_1900K_74.y4m,200,201
345,EPLDay_HEVC_SFR_540p_1100K_74.y4m,200,201
346,EPLDay_AVC_HFR_288p_300K_74.y4m,400,401
347,EPLDay_AVC_HFR_396p_600K_74.y4m,400,401
348,EPLDay_AVC_HFR_396p_900K_74.y4m,400,401
349,EPLDay_AVC_HFR_540p_1300K_74.y4m,400,401
350,EPLDay_AVC_SFR_288p_200K_74.y4m,200,201
351,EPLDay_AVC_HFR_540p_1900K_74.y4m,400,401
352,EPLDay_AVC_SFR_396p_400K_74.y4m,200,201
353,EPLDay_AVC_HFR_720p_2200K_74.y4m,400,401
354,EPLDay_AVC_SFR_396p_800K_74.y4m,200,201
355,EPLDay_AVC_SFR_540p_1200K_74.y4m,200,201
356,EPLDay_AVC_SFR_540p_1800K_74.y4m,200,201
357,EPLDay_AVC_SFR_720p_2000K_74.y4m,200,201
358,EPLDay_HEVC_HFR_720p_2200K_74.y4m,400,401
359,EPLDay_HEVC_SFR_720p_2200K_74.y4m,200,201
360,EPLNight_HEVC_HFR_288p_300K_58.y4m,400,401
361,EPLNight_HEVC_HFR_396p_600K_58.y4m,400,401
362,EPLNight_HEVC_HFR_396p_900K_58.y4m,400,401
363,EPLNight_HEVC_HFR_540p_1100K_58.y4m,400,401
364,EPLNight_HEVC_HFR_540p_1900K_58.y4m,400,401
365,EPLNight_HEVC_SFR_288p_300K_58.y4m,200,201
366,EPLNight_HEVC_SFR_396p_600K_58.y4m,200,201
367,EPLNight_HEVC_SFR_540p_1100K_58.y4m,200,201
368,EPLNight_HEVC_SFR_396p_900K_58.y4m,200,201
369,EPLNight_AVC_HFR_288p_300K_58.y4m,400,401
370,EPLNight_AVC_HFR_396p_600K_58.y4m,400,401
371,EPLNight_AVC_HFR_396p_900K_58.y4m,400,401
372,EPLNight_AVC_SFR_288p_200K_58.y4m,200,201
373,EPLNight_AVC_HFR_540p_1300K_58.y4m,400,401
374,EPLNight_AVC_SFR_396p_400K_58.y4m,200,201
375,EPLNight_AVC_HFR_540p_1900K_58.y4m,400,401
376,EPLNight_AVC_HFR_720p_2200K_58.y4m,400,401
377,EPLNight_AVC_SFR_396p_800K_58.y4m,200,201
378,EPLNight_AVC_SFR_540p_1200K_58.y4m,200,201
379,EPLNight_HEVC_SFR_720p_2200K_58.y4m,200,201
380,EPLNight_AVC_SFR_540p_1800K_58.y4m,200,201
381,EPLNight_AVC_SFR_720p_2000K_58.y4m,200,201
382,EPLNight_HEVC_HFR_720p_2200K_58.y4m,400,401
383,EPLNight_HEVC_SFR_540p_1900K_58.y4m,200,201
384,USOpen_AVC_HFR_288p_300K_148.y4m,400,401
385,USOpen_AVC_HFR_396p_600K_148.y4m,400,401
386,USOpen_AVC_HFR_396p_900K_148.y4m,400,401
387,USOpen_AVC_HFR_540p_1300K_148.y4m,400,401
388,USOpen_AVC_SFR_288p_200K_148.y4m,200,201
389,USOpen_AVC_SFR_396p_400K_148.y4m,200,201
390,USOpen_AVC_SFR_396p_800K_148.y4m,200,201
391,USOpen_AVC_SFR_540p_1200K_148.y4m,200,201
392,USOpen_AVC_SFR_540p_1800K_148.y4m,200,201
393,USOpen_AVC_SFR_720p_2000K_148.y4m,200,201
394,USOpen_AVC_HFR_540p_1900K_148.y4m,400,401
395,USOpen_AVC_HFR_720p_2200K_148.y4m,400,401
396,USOpen_HEVC_HFR_288p_300K_148.y4m,400,401
397,USOpen_HEVC_HFR_396p_600K_148.y4m,400,401
398,USOpen_HEVC_HFR_720p_2200K_148.y4m,400,401
399,USOpen_HEVC_HFR_396p_900K_148.y4m,400,401
400,USOpen_HEVC_SFR_720p_2200K_148.y4m,200,201
401,USOpen_HEVC_SFR_288p_300K_148.y4m,200,201
402,USOpen_HEVC_HFR_540p_1100K_148.y4m,400,401
403,USOpen_HEVC_SFR_396p_600K_148.y4m,200,201
404,USOpen_HEVC_SFR_396p_900K_148.y4m,200,201
405,USOpen_HEVC_HFR_540p_1900K_148.y4m,400,401
406,USOpen_HEVC_SFR_540p_1100K_148.y4m,200,201
407,USOpen_HEVC_SFR_540p_1900K_148.y4m,200,201
408,USOpen_AVC_HFR_288p_300K_604.y4m,400,401
409,USOpen_AVC_HFR_396p_600K_604.y4m,400,401
410,USOpen_AVC_HFR_396p_900K_604.y4m,400,401
411,USOpen_AVC_HFR_540p_1300K_604.y4m,400,401
412,USOpen_AVC_SFR_288p_200K_604.y4m,200,201
413,USOpen_AVC_SFR_396p_400K_604.y4m,200,201
414,USOpen_AVC_SFR_396p_800K_604.y4m,200,201
415,USOpen_AVC_SFR_540p_1200K_604.y4m,200,201
416,USOpen_AVC_SFR_540p_1800K_604.y4m,200,201
417,USOpen_AVC_SFR_720p_2000K_604.y4m,200,201
418,USOpen_AVC_HFR_540p_1900K_604.y4m,400,401
419,USOpen_AVC_HFR_720p_2200K_604.y4m,400,401
420,USOpen_HEVC_HFR_288p_300K_604.y4m,400,401
421,USOpen_HEVC_HFR_396p_600K_604.y4m,400,401
422,USOpen_HEVC_HFR_720p_2200K_604.y4m,400,401
423,USOpen_HEVC_HFR_396p_900K_604.y4m,400,401
424,USOpen_HEVC_SFR_720p_2200K_604.y4m,200,201
425,USOpen_HEVC_SFR_288p_300K_604.y4m,200,201
426,USOpen_HEVC_HFR_540p_1100K_604.y4m,400,401
427,USOpen_HEVC_SFR_396p_600K_604.y4m,200,201
