,video,mos_list,subject_ids,content,codec,fr,res,bitrate
10,USOpen_HEVC_SFR_540p_1100K_166,"[45, 8, 36, 49, 68, 46, 41, 42, 63, 65, 69, 61, 69, 83, 63, 76, 71, 33, 48, 62, 75, 59, 71, 65, 64, 61, 53, 60, 54, 74, 67]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,HEVC,SFR,540p,1100
11,USOpen_HEVC_SFR_288p_300K_0,"[34, 25, 50, 30, 2, 29, 7, 24, 60, 24, 40, 36, 26, 39, 19, 23, 22, 11, 24, 19, 42, 45, 10, 27, 23, 13, 21, 22, 16]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,HEVC,SFR,288p,300
12,TNFNFL_AVC_SFR_540p_1800K_0,"[61, 51, 27, 43, 45, 5, 32, 25, 60, 58, 43, 77, 70, 60, 34, 50, 37, 28, 50, 64, 38, 41, 57, 51, 44, 24, 57, 45, 49, 60]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFNFL_0,AVC,SFR,540p,1800
13,TNFF_HEVC_HFR_540p_1900K_144,"[40, 52, 67, 67, 40, 30, 36, 65, 78, 38, 60, 43, 69, 54, 52, 17, 47, 70, 66, 78, 40, 77, 61, 44, 41, 68, 60, 62, 76, 69]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,HEVC,HFR,540p,1900
14,USOpen_HEVC_HFR_288p_300K_0,"[38, 21, 8, 19, 3, 46, 1, 8, 49, 29, 35, 21, 32, 37, 23, 19, 16, 41, 19, 35, 32, 33, 33, 26, 27, 7, 50, 7, 26, 41]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,HEVC,HFR,288p,300
15,USOpen_AVC_HFR_720p_2200K_166,"[52, 73, 59, 75, 83, 59, 56, 27, 67, 66, 91, 60, 80, 100, 72, 74, 43, 64, 72, 85, 57, 65, 49, 81, 73, 84, 72, 34, 80, 60, 73, 71]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,AVC,HFR,720p,2200
16,USOpen_HEVC_SFR_396p_600K_0,"[46, 15, 38, 66, 42, 42, 50, 15, 28, 55, 32, 55, 57, 54, 13, 62, 44, 39, 39, 46, 37, 48, 36, 50, 55, 26, 41, 14, 50, 35, 39, 46]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,HEVC,SFR,396p,600
17,TNFF_HEVC_HFR_288p_300K_16,"[21, 5, 2, 26, 5, 28, 2, 11, 31, 6, 13, 1, 10, 7, 21, 8, 4, 28, 22, 5, 40, 37, 26, 23, 11, 7, 13, 26, 20]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,HEVC,HFR,288p,300
18,Cricket1_HEVC_HFR_720p_2200K_86,"[41, 47, 67, 78, 41, 23, 41, 29, 88, 93, 56, 87, 81, 58, 73, 46, 70, 81, 72, 79, 96, 75, 87, 75, 43, 51, 17, 48, 59, 64, 81]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,HEVC,HFR,720p,2200
19,TNFF_AVC_SFR_396p_800K_16,"[29, 35, 22, 46, 25, 27, 22, 40, 50, 43, 27, 35, 49, 45, 41, 14, 36, 37, 25, 42, 38, 29, 48, 27, 41, 66, 61, 31, 50, 38]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,AVC,SFR,396p,800
20,TNFF_HEVC_HFR_288p_300K_144,"[9, 1, 7, 2, 23, 2, 28, 8, 24, 37, 4, 9, 1, 1, 10, 3, 25, 6, 10, 1, 1, 10, 10, 15, 53, 22, 26, 9, 1, 17, 14, 5]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,HEVC,HFR,288p,300
21,EPLDay_AVC_HFR_540p_1900K_8,"[60, 64, 68, 45, 28, 30, 28, 60, 82, 81, 51, 68, 51, 56, 54, 53, 34, 64, 73, 53, 76, 41, 81, 51, 52, 49, 50, 48, 74, 73]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_8,AVC,HFR,540p,1900
22,Cricket1_AVC_HFR_540p_1300K_86,"[38, 27, 37, 51, 41, 44, 40, 14, 74, 75, 29, 70, 43, 31, 54, 67, 34, 47, 47, 73, 31, 73, 40, 62, 42, 17, 41, 21, 40, 37, 54, 46]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,AVC,HFR,540p,1300
23,TNFF_AVC_SFR_720p_2000K_16,"[55, 20, 30, 69, 49, 28, 45, 42, 83, 76, 77, 55, 63, 71, 28, 59, 44, 36, 55, 75, 82, 72, 75, 71, 78, 49, 50, 43, 58, 41, 80, 65]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,AVC,SFR,720p,2000
24,USOpen_AVC_SFR_396p_400K_166,"[25, 4, 45, 43, 27, 28, 37, 11, 42, 50, 23, 43, 26, 37, 33, 25, 9, 14, 30, 38, 42, 10, 35, 25, 51, 44, 30, 32, 36, 54, 43, 43]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,AVC,SFR,396p,400
25,Cricket1_HEVC_SFR_540p_1100K_86,"[41, 55, 25, 75, 44, 43, 23, 45, 56, 44, 75, 77, 36, 50, 39, 42, 77, 38, 45, 81, 50, 70, 83, 49, 42, 41, 30, 29, 72, 35]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,HEVC,SFR,540p,1100
26,TNFF_HEVC_HFR_540p_1100K_16,"[28, 1, 24, 64, 49, 58, 35, 1, 37, 72, 32, 49, 65, 41, 51, 33, 21, 38, 47, 28, 77, 37, 66, 38, 46, 21, 48, 36, 56, 34]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,HEVC,HFR,540p,1100
27,Cricket2_HEVC_HFR_720p_2200K_90,"[30, 25, 55, 50, 65, 17, 41, 28, 91, 89, 65, 97, 80, 66, 58, 82, 40, 75, 78, 63, 80, 99, 50, 87, 46, 50, 49, 10, 50, 36, 48, 43]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,HEVC,HFR,720p,2200
28,TNFF_AVC_SFR_288p_200K_144,"[4, 1, 2, 27, 13, 4, 20, 1, 1, 28, 1, 11, 7, 30, 32, 17, 3, 1, 1, 1, 1, 29, 41, 2, 10, 2, 1, 25, 1, 5]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,AVC,SFR,288p,200
29,USOpen_AVC_SFR_396p_800K_0,"[35, 5, 40, 22, 46, 24, 41, 21, 59, 60, 62, 43, 55, 39, 59, 37, 34, 38, 48, 48, 42, 44, 39, 53, 57, 39, 51, 48, 37, 28, 58]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,AVC,SFR,396p,800
30,USOpen_AVC_HFR_396p_900K_166,"[28, 15, 58, 27, 28, 49, 33, 27, 59, 58, 42, 62, 41, 48, 40, 21, 33, 14, 42, 59, 49, 53, 49, 47, 26, 25, 66, 70, 38]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,AVC,HFR,396p,900
31,TNFNFL_HEVC_SFR_720p_2200K_0,"[59, 37, 35, 64, 52, 43, 41, 30, 49, 78, 76, 60, 86, 45, 57, 50, 45, 26, 50, 83, 78, 76, 79, 65, 62, 51, 59, 60, 78, 69, 49]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFNFL_0,HEVC,SFR,720p,2200
32,Cricket1_SRC_SRC_SRC_SRC_86,"[42, 51, 52, 72, 54, 23, 8, 52, 94, 93, 49, 98, 95, 55, 77, 60, 75, 87, 85, 75, 97, 85, 100, 86, 74, 49, 17, 25, 47, 76, 62]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,SRC,SRC,SRC,100000
33,USOpen_AVC_SFR_540p_1800K_166,"[47, 79, 45, 65, 56, 56, 50, 32, 39, 77, 48, 45, 76, 80, 64, 73, 31, 43, 52, 74, 75, 86, 48, 85, 80, 60, 65, 26, 59, 82, 76]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,AVC,SFR,540p,1800
34,USOpen_AVC_HFR_540p_1900K_0,"[63, 35, 33, 52, 77, 53, 30, 39, 60, 54, 77, 66, 73, 59, 24, 66, 42, 47, 50, 67, 85, 60, 75, 75, 49, 49, 83, 58, 69, 65]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,AVC,HFR,540p,1900
35,EPLDay_SRC_SRC_SRC_SRC_8,"[81, 97, 88, 90, 87, 73, 70, 69, 100, 85, 99, 100, 100, 100, 98, 94, 99, 99, 100, 99, 99, 73, 100, 100, 99, 84, 82, 100, 98, 99, 100]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_8,SRC,SRC,SRC,100000
36,TNFF_AVC_SFR_396p_800K_144,"[11, 14, 38, 40, 1, 31, 22, 9, 57, 11, 50, 12, 64, 38, 29, 25, 18, 14, 48, 8, 37, 34, 39, 22, 38, 28, 24, 49, 24, 35]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,AVC,SFR,396p,800
37,EPLDay_HEVC_HFR_396p_600K_8,"[18, 9, 28, 27, 10, 23, 22, 22, 40, 20, 54, 18, 45, 17, 18, 22, 30, 23, 34, 29, 26, 49, 42, 28, 36, 24, 32, 37, 28, 34]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_8,HEVC,HFR,396p,600
38,TNFNFL_AVC_HFR_720p_2200K_0,"[27, 7, 62, 43, 16, 48, 27, 82, 77, 50, 73, 64, 90, 61, 40, 27, 45, 27, 50, 64, 60, 26, 82, 45, 38, 40, 70, 67, 73, 55]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFNFL_0,AVC,HFR,720p,2200
39,TNFF_AVC_HFR_396p_900K_16,"[25, 22, 15, 46, 29, 38, 28, 48, 58, 25, 32, 24, 48, 22, 41, 29, 13, 34, 74, 25, 58, 33, 52, 38, 61, 43, 46, 48, 38, 30, 34]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,AVC,HFR,396p,900
40,TNFF_AVC_HFR_720p_2200K_144,"[42, 57, 66, 49, 54, 38, 25, 66, 66, 76, 45, 41, 61, 57, 41, 35, 39, 73, 87, 45, 60, 76, 70, 42, 18, 73, 60, 84, 60]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,AVC,HFR,720p,2200
41,TNFF_AVC_SFR_396p_400K_16,"[13, 16, 45, 32, 2, 25, 27, 11, 52, 21, 32, 8, 38, 19, 35, 17, 12, 10, 38, 14, 59, 32, 1, 46, 3, 23, 10, 48, 20, 26, 37]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_16,AVC,SFR,396p,400
42,USOpen_SRC_SRC_SRC_SRC_0,"[51, 47, 73, 44, 63, 52, 70, 85, 94, 100, 73, 91, 91, 63, 71, 71, 93, 89, 100, 55, 76, 53, 100, 52, 34, 43, 38, 85, 53, 99, 70]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,SRC,SRC,SRC,100000
43,TNFNFL_AVC_HFR_540p_1900K_0,"[31, 18, 21, 46, 45, 4, 47, 28, 48, 91, 24, 35, 69, 33, 48, 17, 23, 26, 42, 66, 47, 33, 45, 62, 37, 51, 64, 49, 35, 63]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFNFL_0,AVC,HFR,540p,1900
44,USOpen_AVC_SFR_288p_200K_166,"[4, 15, 8, 20, 1, 24, 5, 18, 47, 4, 12, 1, 7, 29, 14, 5, 5, 1, 4, 4, 15, 12, 39, 13, 3, 1, 26, 12, 11]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,AVC,SFR,288p,200
45,USOpen_AVC_SFR_288p_200K_0,"[17, 1, 33, 60, 26, 8, 22, 39, 15, 38, 12, 25, 27, 13, 50, 24, 24, 24, 37, 25, 3, 32, 28, 65, 12, 26, 24, 15, 35, 46, 34, 26]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_0,AVC,SFR,288p,200
46,EPLDay_AVC_HFR_540p_1300K_8,"[47, 21, 45, 59, 43, 24, 35, 34, 45, 80, 54, 59, 27, 43, 63, 27, 19, 44, 31, 73, 35, 53, 23, 54, 22, 44, 35, 38, 53, 47, 49, 74]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_8,AVC,HFR,540p,1300
47,EPLDay_AVC_HFR_540p_1300K_0,"[43, 28, 49, 50, 45, 27, 50, 31, 66, 56, 51, 80, 69, 61, 36, 51, 32, 27, 56, 60, 52, 55, 41, 55, 43, 50, 31, 70, 65, 58, 46]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_0,AVC,HFR,540p,1300
48,EPLNight_HEVC_SFR_540p_1900K_0,"[40, 75, 63, 74, 61, 25, 50, 29, 83, 89, 78, 64, 52, 90, 44, 29, 38, 72, 37, 61, 77, 48, 44, 67, 54, 57, 9, 73, 72, 68, 68]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLNight_0,HEVC,SFR,540p,1900
49,TNFNFL_SRC_SRC_SRC_SRC_0,"[70, 63, 70, 68, 64, 60, 49, 13, 95, 93, 63, 100, 91, 56, 83, 56, 55, 69, 75, 80, 92, 72, 76, 64, 75, 59, 100, 80, 74, 88, 76]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFNFL_0,SRC,SRC,SRC,100000
50,USOpen_HEVC_SFR_720p_2200K_166,"[61, 56, 63, 71, 62, 44, 48, 25, 100, 94, 91, 91, 80, 91, 65, 51, 79, 58, 80, 97, 79, 48, 87, 78, 32, 49, 79, 100, 58]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",USOpen_166,HEVC,SFR,720p,2200
51,Cricket1_HEVC_HFR_396p_600K_86,"[34, 1, 31, 64, 42, 25, 31, 9, 39, 38, 42, 55, 63, 45, 18, 11, 37, 19, 32, 62, 27, 36, 35, 57, 58, 34, 36, 5, 34, 27, 55, 23]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,HEVC,HFR,396p,600
52,Cricket2_HEVC_SFR_396p_900K_90,"[40, 26, 57, 49, 20, 18, 34, 36, 44, 46, 62, 25, 57, 18, 23, 20, 30, 42, 50, 27, 57, 42, 50, 49, 42, 41, 8, 49, 21, 39, 35]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,HEVC,SFR,396p,900
53,EPLNight_HEVC_HFR_288p_300K_0,"[25, 9, 2, 26, 2, 33, 5, 17, 34, 16, 29, 1, 35, 8, 15, 3, 11, 1, 18, 55, 23, 1, 19, 27, 26, 26, 12, 22, 7, 22]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLNight_0,HEVC,HFR,288p,300
54,Cricket1_HEVC_SFR_288p_300K_86,"[27, 17, 4, 29, 9, 1, 1, 21, 38, 17, 37, 36, 20, 40, 24, 5, 13, 49, 16, 21, 25, 22, 3, 30, 1, 12, 36, 3, 10]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket1_86,HEVC,SFR,288p,300
55,EPLNight_AVC_SFR_720p_2000K_0,"[51, 61, 77, 63, 48, 31, 41, 61, 71, 88, 79, 84, 60, 76, 73, 54, 80, 73, 79, 85, 51, 57, 88, 75, 72, 49, 56, 85, 80]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLNight_0,AVC,SFR,720p,2000
56,Cricket2_AVC_SFR_540p_1200K_90,"[38, 27, 47, 46, 48, 23, 50, 30, 29, 60, 51, 61, 68, 16, 47, 36, 47, 51, 51, 35, 82, 45, 74, 51, 44, 37, 22, 61, 47, 65, 36]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",Cricket2_90,AVC,SFR,540p,1200
57,EPLDay_AVC_SFR_540p_1200K_0,"[40, 43, 47, 47, 29, 35, 2, 6, 72, 52, 54, 23, 24, 49, 27, 40, 64, 60, 35, 42, 47, 57, 48, 41, 32, 47, 40, 61, 58]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",EPLDay_0,AVC,SFR,540p,1200
58,TNFF_HEVC_SFR_396p_600K_144,"[25, 24, 51, 20, 21, 34, 24, 11, 55, 33, 43, 12, 28, 43, 28, 18, 28, 25, 71, 36, 28, 26, 35, 25, 36, 39, 35, 32, 45, 32]","['1', '2', '3', '7', '6', '4', '5', '17', '16', '14', '15', '29', '11', '12', '13', '22', '23', '21', '20', '24', '30', '18', '19', '25', '27', '26', '8', '9', '95', '91', '92']",TNFF_144,HEVC,SFR,396p,600
