,video,mos,content,codec,fr,res,bitrate,dmos
225,Cricket2_HEVC_HFR_720p_2200K_120,55.8601625,Cricket2_120,HEVC,HFR,720p,2200,-5.645055500000012
226,EPLDay_HEVC_SFR_540p_1900K_48,54.299295392857154,EPLDay_48,HEVC,SFR,540p,1900,-19.881803821428555
227,TNFF_AVC_HFR_540p_1300K_304,50.816343285714304,TNFF_304,AVC,HFR,540p,1300,-19.271913749999975
228,USOpen_AVC_SFR_720p_2000K_176,60.51952892857141,USOpen_176,AVC,SFR,720p,2000,-13.253499886243397
229,EPLNight_HEVC_SFR_720p_2200K_20,64.61642539285714,EPLNight_20,HEVC,SFR,720p,2200,-13.765433999999999
230,EPLDay_HEVC_SFR_396p_600K_48,46.28124032142857,EPLDay_48,HEVC,SFR,396p,600,-27.89985889285714
231,Cricket2_AVC_HFR_540p_1300K_120,47.64887925,Cricket2_120,AVC,HFR,540p,1300,-13.856338750000013
232,USOpen_HEVC_HFR_288p_300K_176,36.792378035714286,USOpen_176,HEVC,HFR,288p,300,-36.98065077910052
233,TNFF_HEVC_SFR_396p_600K_304,45.39586839285714,TNFF_304,HEVC,SFR,396p,600,-24.69238864285714
234,Cricket2_AVC_HFR_396p_900K_120,45.61862478571429,Cricket2_120,AVC,HFR,396p,900,-15.886593214285725
235,EPLDay_HEVC_HFR_720p_2200K_48,64.94516739285714,EPLDay_48,HEVC,HFR,720p,2200,-9.235931821428565
237,EPLDay_HEVC_SFR_288p_300K_48,37.16591296428572,EPLDay_48,HEVC,SFR,288p,300,-37.01518624999999
238,EPLNight_HEVC_HFR_540p_1900K_20,56.72069835714286,EPLNight_20,HEVC,HFR,540p,1900,-21.66116103571428
239,TNFF_HEVC_HFR_396p_600K_304,36.75802289285715,TNFF_304,HEVC,HFR,396p,600,-33.33023414285713
240,EPLNight_HEVC_HFR_396p_900K_20,47.910870964285714,EPLNight_20,HEVC,HFR,396p,900,-30.470988428571424
241,TNFF_AVC_HFR_288p_300K_304,29.47543685,TNFF_304,AVC,HFR,288p,300,-40.61282018571428
242,Cricket2_HEVC_SFR_540p_1900K_120,54.427150964285715,Cricket2_120,HEVC,SFR,540p,1900,-7.078067035714298
243,TNFF_AVC_SFR_396p_400K_304,39.50901232142858,TNFF_304,AVC,SFR,396p,400,-30.5792447142857
244,EPLNight_HEVC_SFR_396p_900K_20,49.40166267857143,EPLNight_20,HEVC,SFR,396p,900,-28.98019671428571
245,USOpen_AVC_SFR_540p_1200K_176,52.235322214285716,USOpen_176,AVC,SFR,540p,1200,-21.53770660052909
246,TNFF_HEVC_SFR_396p_900K_304,47.014259749999994,TNFF_304,HEVC,SFR,396p,900,-23.073997285714285
247,EPLDay_HEVC_HFR_396p_600K_48,42.139569107142854,EPLDay_48,HEVC,HFR,396p,600,-32.041530107142854
248,Cricket2_AVC_HFR_288p_300K_120,36.226991035714285,Cricket2_120,AVC,HFR,288p,300,-25.27822696428573
249,USOpen_AVC_HFR_540p_1300K_176,56.53087907142857,USOpen_176,AVC,HFR,540p,1300,-17.242149743386236
250,EPLDay_AVC_HFR_540p_1900K_0,50.666054137931035,EPLDay_0,AVC,HFR,540p,1900,-3.6980374646086887
251,Cricket1_HEVC_SFR_396p_900K_86,54.58501513793104,Cricket1_86,HEVC,SFR,396p,900,0.4516896304125453
252,EPLDay_HEVC_HFR_288p_300K_8,49.359348628738616,EPLDay_8,HEVC,HFR,288p,300,-6.743325289784472
253,USOpen_AVC_SFR_540p_1800K_0,48.23642978434014,USOpen_0,AVC,SFR,540p,1800,-5.021989540339774
254,EPLDay_HEVC_HFR_396p_900K_8,45.45318697681996,EPLDay_8,HEVC,HFR,396p,900,-10.649486941703131
255,TNFNFL_AVC_SFR_540p_1200K_0,46.65608460010045,TNFNFL_0,AVC,SFR,540p,1200,-7.150610204076209
256,EPLDay_AVC_HFR_540p_1900K_8,51.352421062242044,EPLDay_8,AVC,HFR,540p,1900,-4.750252856281044
257,Cricket1_AVC_HFR_720p_2200K_86,51.858348520103796,Cricket1_86,AVC,HFR,720p,2200,-2.2749769874146963
259,USOpen_HEVC_SFR_540p_1100K_166,55.35178544217993,USOpen_166,HEVC,SFR,540p,1100,1.206955996458376
260,EPLDay_HEVC_SFR_720p_2200K_8,47.40031094311116,EPLDay_8,HEVC,SFR,720p,2200,-8.70236297541193
261,TNFF_HEVC_HFR_396p_900K_144,50.12525156156557,TNFF_144,HEVC,HFR,396p,900,-1.7470962501293172
262,Cricket1_HEVC_HFR_720p_2200K_86,48.315614236281775,Cricket1_86,HEVC,HFR,720p,2200,-5.817711271236718
263,TNFF_AVC_HFR_540p_1900K_16,50.85052686497682,TNFF_16,AVC,HFR,540p,1900,-2.1257369287440255
264,TNFF_AVC_SFR_540p_1200K_144,51.75755933915226,TNFF_144,AVC,SFR,540p,1200,-0.11478847254262803
265,TNFNFL_HEVC_HFR_396p_600K_0,44.48581499606917,TNFNFL_0,HEVC,HFR,396p,600,-9.320879808107485
266,EPLDay_HEVC_HFR_540p_1100K_8,54.738660427038226,EPLDay_8,HEVC,HFR,540p,1100,-1.3640134914848616
267,Cricket1_AVC_SFR_396p_800K_86,44.864481753034084,Cricket1_86,AVC,SFR,396p,800,-9.268843754484408
268,USOpen_AVC_HFR_396p_600K_0,45.07116086134398,USOpen_0,AVC,HFR,396p,600,-8.187258463335937
269,EPLDay_HEVC_SFR_288p_300K_0,45.095717046865246,EPLDay_0,HEVC,SFR,288p,300,-9.268374555674477
270,TNFF_HEVC_HFR_720p_2200K_144,49.14695669399548,TNFF_144,HEVC,HFR,720p,2200,-2.7253911176994094
271,USOpen_AVC_HFR_540p_1300K_0,49.52366685343713,USOpen_0,AVC,HFR,540p,1300,-3.7347524712427855
272,TNFF_AVC_SFR_396p_800K_16,52.03839918864593,TNFF_16,AVC,SFR,396p,800,-0.937864605074914
273,USOpen_AVC_SFR_288p_200K_0,44.67213914876588,USOpen_0,AVC,SFR,288p,200,-8.586280175914034
274,EPLDay_AVC_SFR_540p_1800K_8,45.33018982801064,EPLDay_8,AVC,SFR,540p,1800,-10.77248409051245
275,TNFNFL_AVC_SFR_396p_400K_0,50.073176644365546,TNFNFL_0,AVC,SFR,396p,400,-3.733518159811112
276,EPLNight_AVC_SFR_720p_2000K_0,54.9892221724138,EPLNight_0,AVC,SFR,720p,2000,2.2104186103448384
277,TNFNFL_AVC_HFR_540p_1900K_0,49.29923635343713,TNFNFL_0,AVC,HFR,540p,1900,-4.507458450739527
278,EPLNight_AVC_SFR_288p_200K_0,45.24329111172561,EPLNight_0,AVC,SFR,288p,200,-7.535512450343347
279,TNFF_AVC_HFR_396p_600K_16,54.121667446499075,TNFF_16,AVC,HFR,396p,600,1.1454036527782279
280,Cricket2_HEVC_HFR_540p_1100K_90,48.91464724137931,Cricket2_90,HEVC,HFR,540p,1100,3.077142932260486
281,USOpen_HEVC_SFR_396p_600K_0,48.807872028193714,USOpen_0,HEVC,SFR,396p,600,-4.450547296486199
282,TNFF_HEVC_HFR_288p_300K_16,40.75250017241379,TNFF_16,HEVC,HFR,288p,300,-12.223763621307057
283,Cricket2_AVC_HFR_720p_2200K_90,51.483766900453375,Cricket2_90,AVC,HFR,720p,2200,5.646262591334548
284,USOpen_AVC_SFR_720p_2000K_166,54.57253208047731,USOpen_166,AVC,SFR,720p,2000,0.42770263475575376
285,TNFF_AVC_HFR_720p_2200K_16,53.680705425383564,TNFF_16,AVC,HFR,720p,2200,0.7044416316627178
286,EPLDay_HEVC_HFR_396p_900K_0,50.41582916433775,EPLDay_0,HEVC,HFR,396p,900,-3.948262438201972
287,TNFF_AVC_SFR_288p_200K_144,48.4359016121983,TNFF_144,AVC,SFR,288p,200,-3.4364461994965865
288,Cricket1_AVC_HFR_288p_300K_86,45.9252679201239,Cricket1_86,AVC,HFR,288p,300,-8.208057587394592
289,TNFF_AVC_SFR_396p_800K_144,45.568072829466594,TNFF_144,AVC,SFR,396p,800,-6.304274982228293
290,EPLDay_HEVC_SFR_540p_1900K_8,48.96858071252,EPLDay_8,HEVC,SFR,540p,1900,-7.134093206003087
291,Cricket2_AVC_SFR_396p_400K_90,46.53246872413794,Cricket2_90,AVC,SFR,396p,400,0.6949644150191148
292,TNFNFL_AVC_SFR_288p_200K_0,49.27783748677045,TNFNFL_0,AVC,SFR,288p,200,-4.528857317406207
293,Cricket2_HEVC_SFR_540p_1900K_90,49.88943353555522,Cricket2_90,HEVC,SFR,540p,1900,4.051929226436393
294,USOpen_AVC_HFR_540p_1300K_166,48.050935165814586,USOpen_166,AVC,HFR,540p,1300,-6.093894279906969
295,EPLDay_HEVC_SFR_396p_600K_8,45.81704947918667,EPLDay_8,HEVC,SFR,396p,600,-10.285624439336416
296,USOpen_AVC_SFR_396p_400K_166,49.09644743146376,USOpen_166,AVC,SFR,396p,400,-5.048382014257797
297,Cricket1_HEVC_HFR_396p_900K_86,42.49305165343714,Cricket1_86,HEVC,HFR,396p,900,-11.64027385408135
298,TNFF_AVC_HFR_540p_1300K_144,50.90599691897599,TNFF_144,AVC,HFR,540p,1300,-0.9663508927189
299,EPLDay_HEVC_SFR_540p_1900K_0,53.821530971126975,EPLDay_0,HEVC,SFR,540p,1900,-0.5425606314127478
300,EPLNight_HEVC_HFR_540p_1900K_0,47.42770972649551,EPLNight_0,HEVC,HFR,540p,1900,-5.351093835573451
301,Cricket2_HEVC_SFR_396p_900K_90,53.50084326895779,Cricket2_90,HEVC,SFR,396p,900,7.66333895983896
302,EPLNight_HEVC_HFR_720p_2200K_0,52.79153017241379,EPLNight_0,HEVC,HFR,720p,2200,0.01272661034483491
303,Cricket2_AVC_SFR_540p_1800K_90,51.6508413616783,Cricket2_90,AVC,SFR,540p,1800,5.813337052559476
304,TNFF_AVC_SFR_540p_1200K_16,52.77392156828384,TNFF_16,AVC,SFR,540p,1200,-0.20234222543700753
305,TNFNFL_HEVC_SFR_396p_900K_0,47.18141958953245,TNFNFL_0,HEVC,SFR,396p,900,-6.625275214644205
306,EPLDay_HEVC_HFR_396p_600K_0,50.588662004159694,EPLDay_0,HEVC,HFR,396p,600,-3.775429598380029
307,USOpen_HEVC_SFR_720p_2200K_0,51.76253212068966,USOpen_0,HEVC,SFR,720p,2200,-1.4958872039902502
308,TNFF_AVC_HFR_396p_600K_144,44.133853980786135,TNFF_144,AVC,HFR,396p,600,-7.738493830908752
309,TNFNFL_HEVC_HFR_720p_2200K_0,48.26751662008785,TNFNFL_0,HEVC,HFR,720p,2200,-5.5391781840888115
310,TNFF_AVC_HFR_540p_1300K_16,50.88188236235673,TNFF_16,AVC,HFR,540p,1300,-2.09438143136412
311,USOpen_AVC_HFR_540p_1900K_0,52.45616853483616,USOpen_0,AVC,HFR,540p,1900,-0.8022507898437539
312,EPLNight_HEVC_HFR_288p_300K_0,52.49767461411946,EPLNight_0,HEVC,HFR,288p,300,-0.2811289479494974
313,EPLDay_HEVC_HFR_720p_2200K_8,49.36198193056546,EPLDay_8,HEVC,HFR,720p,2200,-6.740691987957625
314,USOpen_AVC_SFR_540p_1200K_166,49.15768616436135,USOpen_166,AVC,SFR,540p,1200,-4.987143281360204
316,TNFF_AVC_SFR_396p_400K_16,44.16509002610369,TNFF_16,AVC,SFR,396p,400,-8.811173767617156
317,Cricket2_HEVC_SFR_288p_300K_90,47.618247979303305,Cricket2_90,HEVC,SFR,288p,300,1.7807436701844779
318,USOpen_AVC_HFR_720p_2200K_0,48.78269691411947,USOpen_0,AVC,HFR,720p,2200,-4.475722410560444
319,EPLNight_AVC_SFR_540p_1200K_0,51.26555460367576,EPLNight_0,AVC,SFR,540p,1200,-1.5132489583931985
320,USOpen_HEVC_HFR_288p_300K_0,46.399142235407176,USOpen_0,HEVC,HFR,288p,300,-6.859277089272737
321,EPLNight_HEVC_SFR_720p_2200K_0,55.44865671559618,EPLNight_0,HEVC,SFR,720p,2200,2.669853153527221
322,EPLDay_HEVC_HFR_288p_300K_0,47.98100658147069,EPLDay_0,HEVC,HFR,288p,300,-6.383085021069036
323,TNFF_HEVC_SFR_720p_2200K_144,50.54816228677045,TNFF_144,HEVC,SFR,720p,2200,-1.324185524924438
324,USOpen_HEVC_HFR_540p_1100K_0,54.92006905851643,USOpen_0,HEVC,HFR,540p,1100,1.6616497338365193
325,TNFNFL_AVC_HFR_396p_600K_0,47.33844651446607,TNFNFL_0,AVC,HFR,396p,600,-6.468248289710587
326,TNFF_HEVC_HFR_288p_300K_144,46.78459581353478,TNFF_144,HEVC,HFR,288p,300,-5.087751998160108
327,TNFF_AVC_HFR_288p_300K_16,48.59262435618869,TNFF_16,AVC,HFR,288p,300,-4.383639437532153
328,TNFF_HEVC_HFR_540p_1100K_144,52.961409425118546,TNFF_144,HEVC,HFR,540p,1100,1.0890616134236595
329,EPLNight_AVC_HFR_540p_1300K_0,48.205623659873886,EPLNight_0,AVC,HFR,540p,1300,-4.573179902195072
330,TNFF_HEVC_SFR_396p_600K_144,45.89067519880015,TNFF_144,HEVC,SFR,396p,600,-5.981672612894734
331,USOpen_HEVC_SFR_540p_1900K_166,55.66180570324445,USOpen_166,HEVC,SFR,540p,1900,1.5169762575228916
332,TNFF_AVC_HFR_396p_900K_144,48.66385094210223,TNFF_144,AVC,HFR,396p,900,-3.2084968695926577
333,TNFF_AVC_SFR_288p_200K_16,42.70967924137931,TNFF_16,AVC,SFR,288p,200,-10.266584552341534
334,USOpen_HEVC_SFR_396p_900K_166,47.94888888725404,USOpen_166,HEVC,SFR,396p,900,-6.1959405584675125
335,USOpen_AVC_SFR_396p_800K_0,48.74718182203527,USOpen_0,AVC,SFR,396p,800,-4.51123750264464
336,EPLDay_HEVC_HFR_720p_2200K_0,54.81344589655173,EPLDay_0,HEVC,HFR,720p,2200,0.44935429401200366
337,Cricket1_HEVC_HFR_540p_1100K_86,53.144760496252516,Cricket1_86,HEVC,HFR,540p,1100,-0.9885650112659761
338,USOpen_HEVC_SFR_396p_900K_0,48.12251141919305,USOpen_0,HEVC,SFR,396p,900,-5.13590790548686
339,TNFF_AVC_SFR_540p_1800K_144,49.166951261565565,TNFF_144,AVC,SFR,540p,1800,-2.705396550129322
340,USOpen_AVC_SFR_396p_400K_0,49.30453711608191,USOpen_0,AVC,SFR,396p,400,-3.953882208598003
341,TNFF_AVC_SFR_396p_400K_144,47.944397331200875,TNFF_144,AVC,SFR,396p,400,-3.9279504804940117
342,USOpen_AVC_SFR_720p_2000K_0,49.79519768677047,USOpen_0,AVC,SFR,720p,2000,-3.4632216379094416
343,EPLDay_HEVC_SFR_720p_2200K_0,53.82763677099864,EPLDay_0,HEVC,SFR,720p,2200,-0.5364548315410858
344,USOpen_AVC_HFR_288p_300K_0,52.67377599455871,USOpen_0,AVC,HFR,288p,300,-0.5846433301212031
345,EPLDay_HEVC_SFR_288p_300K_8,43.76825214540625,EPLDay_8,HEVC,SFR,288p,300,-12.334421773116837
346,Cricket2_AVC_SFR_540p_1200K_90,48.11437314644471,Cricket2_90,AVC,SFR,540p,1200,2.2768688373258854
348,Cricket1_HEVC_SFR_540p_1100K_86,50.10990401364661,Cricket1_86,HEVC,SFR,540p,1100,-4.023421493871879
349,EPLNight_HEVC_HFR_396p_600K_0,49.80599493926648,EPLNight_0,HEVC,HFR,396p,600,-2.972808622802475
350,Cricket2_HEVC_SFR_720p_2200K_90,56.118471690547146,Cricket2_90,HEVC,SFR,720p,2200,10.280967381428319
352,Cricket2_AVC_SFR_396p_800K_90,53.05987194692296,Cricket2_90,AVC,SFR,396p,800,7.222367637804133
353,USOpen_HEVC_HFR_720p_2200K_166,52.06501745343713,USOpen_166,HEVC,HFR,720p,2200,-2.0798119922844265
354,Cricket1_AVC_SFR_288p_200K_86,49.96881862691697,Cricket1_86,AVC,SFR,288p,200,-4.164506880601522
356,Cricket2_HEVC_HFR_288p_300K_90,44.95496079232701,Cricket2_90,HEVC,HFR,288p,300,-0.8825435167918201
357,TNFF_HEVC_HFR_396p_900K_16,48.00366921681426,TNFF_16,HEVC,HFR,396p,900,-4.972594576906587
358,EPLDay_HEVC_HFR_540p_1900K_0,49.818518442425486,EPLDay_0,HEVC,HFR,540p,1900,-4.5455731601142375
359,TNFF_AVC_HFR_720p_2200K_144,51.428118724137946,TNFF_144,AVC,HFR,720p,2200,-0.44422908755694124
360,Cricket2_AVC_SFR_720p_2000K_90,55.31578231034483,Cricket2_90,AVC,SFR,720p,2000,9.478278001226002
361,Cricket1_HEVC_SFR_720p_2200K_86,50.88684184047724,Cricket1_86,HEVC,SFR,720p,2200,-3.246483667041254
362,USOpen_HEVC_SFR_540p_1100K_0,52.55193323900826,USOpen_0,HEVC,SFR,540p,1100,-0.7064860856716564
363,EPLDay_HEVC_SFR_396p_900K_8,47.4569654137931,EPLDay_8,HEVC,SFR,396p,900,-8.645708504729988
364,EPLNight_HEVC_HFR_396p_900K_0,50.18778546257833,EPLNight_0,HEVC,HFR,396p,900,-2.5910180994906256
365,USOpen_HEVC_SFR_288p_300K_166,46.27617252811786,USOpen_166,HEVC,SFR,288p,300,-7.868656917603694
366,EPLNight_HEVC_SFR_396p_900K_0,53.577451719612355,EPLNight_0,HEVC,SFR,396p,900,0.798648157543397
367,TNFF_HEVC_HFR_720p_2200K_16,54.54018563766531,TNFF_16,HEVC,HFR,720p,2200,1.5639218439444633
368,Cricket1_AVC_SFR_396p_400K_86,48.173715945018,Cricket1_86,AVC,SFR,396p,400,-5.959609562500489
369,Cricket2_HEVC_SFR_540p_1100K_90,54.384382361733714,Cricket2_90,HEVC,SFR,540p,1100,8.546878052614886
370,TNFF_HEVC_SFR_720p_2200K_16,48.83472400433197,TNFF_16,HEVC,SFR,720p,2200,-4.1415397893888795
371,EPLDay_HEVC_HFR_396p_600K_8,47.087041976287715,EPLDay_8,HEVC,HFR,396p,600,-9.015631942235373
372,USOpen_AVC_SFR_540p_1200K_0,52.71518086986862,USOpen_0,AVC,SFR,540p,1200,-0.543238454811295
373,EPLNight_AVC_HFR_720p_2200K_0,56.55180725460661,EPLNight_0,AVC,HFR,720p,2200,3.7730036925376496
374,TNFNFL_AVC_SFR_540p_1800K_0,49.21483108677046,TNFNFL_0,AVC,SFR,540p,1800,-4.5918637174061985
375,USOpen_AVC_HFR_540p_1900K_166,52.106823175479846,USOpen_166,AVC,HFR,540p,1900,-2.038006270241709
376,EPLDay_HEVC_SFR_396p_900K_0,42.799193820932274,EPLDay_0,HEVC,SFR,396p,900,-11.56489778160745
377,TNFNFL_HEVC_HFR_396p_900K_0,50.66981245850346,TNFNFL_0,HEVC,HFR,396p,900,-3.1368823456732002
378,USOpen_AVC_HFR_720p_2200K_166,51.054391941750524,USOpen_166,AVC,HFR,720p,2200,-3.0904375039710317
379,Cricket1_HEVC_SFR_540p_1900K_86,52.6124411819531,Cricket1_86,HEVC,SFR,540p,1900,-1.5208843255653903
380,EPLDay_AVC_HFR_540p_1300K_0,53.06450988680568,EPLDay_0,AVC,HFR,540p,1300,-1.2995817157340426
381,USOpen_HEVC_SFR_720p_2200K_166,51.25965186206896,USOpen_166,HEVC,SFR,720p,2200,-2.885177583652599
382,EPLDay_HEVC_SFR_540p_1100K_0,51.015733977612136,EPLDay_0,HEVC,SFR,540p,1100,-3.348357624927587
383,USOpen_AVC_SFR_288p_200K_166,47.43360358620689,USOpen_166,AVC,SFR,288p,200,-6.711225859514663
384,TNFF_AVC_HFR_396p_900K_16,50.50665365067875,TNFF_16,AVC,HFR,396p,900,-2.4696101430420967
385,Cricket2_AVC_HFR_288p_300K_90,48.74137276754159,Cricket2_90,AVC,HFR,288p,300,2.903868458422764
386,USOpen_HEVC_HFR_396p_900K_0,52.945591578963125,USOpen_0,HEVC,HFR,396p,900,-0.3128277457167883
387,USOpen_HEVC_HFR_396p_900K_166,47.285569611098985,USOpen_166,HEVC,HFR,396p,900,-6.85925983462257
388,TNFF_HEVC_SFR_540p_1900K_144,48.00273632205415,TNFF_144,HEVC,SFR,540p,1900,-3.8696114896407394
389,TNFF_HEVC_SFR_396p_900K_144,51.76553603191481,TNFF_144,HEVC,SFR,396p,900,-0.10681177978007383
390,Cricket1_AVC_HFR_396p_900K_86,49.42514335343713,Cricket1_86,AVC,HFR,396p,900,-4.7081821540813635
391,USOpen_HEVC_HFR_396p_600K_0,50.069018412985216,USOpen_0,HEVC,HFR,396p,600,-3.1894009116946975
392,EPLDay_AVC_SFR_540p_1200K_8,52.39586862432944,EPLDay_8,AVC,SFR,540p,1200,-3.70680529419365
393,TNFF_HEVC_SFR_288p_300K_144,43.681652586206894,TNFF_144,HEVC,SFR,288p,300,-8.190695225487993
394,TNFNFL_HEVC_HFR_288p_300K_0,50.09391174320721,TNFNFL_0,HEVC,HFR,288p,300,-3.71278306096945
395,EPLNight_HEVC_SFR_540p_1100K_0,52.72599497350361,EPLNight_0,HEVC,SFR,540p,1100,-0.0528085885653482
396,TNFF_HEVC_HFR_540p_1100K_16,49.45993591726463,TNFF_16,HEVC,HFR,540p,1100,-3.5163278764562165
397,EPLNight_HEVC_SFR_396p_600K_0,46.956549086770465,EPLNight_0,HEVC,SFR,396p,600,-5.822254475298493
398,TNFF_HEVC_HFR_540p_1900K_144,55.47150354068579,TNFF_144,HEVC,HFR,540p,1900,3.599155728990901
399,USOpen_AVC_SFR_396p_800K_166,50.251582564337745,USOpen_166,AVC,SFR,396p,800,-3.89324688138381
401,USOpen_AVC_HFR_396p_900K_166,41.10423503448277,USOpen_166,AVC,HFR,396p,900,-13.040594411238786
402,USOpen_HEVC_SFR_396p_600K_166,51.94933505343713,USOpen_166,HEVC,SFR,396p,600,-2.1954943922844237
403,Cricket1_AVC_HFR_540p_1300K_86,56.22062520785011,Cricket1_86,AVC,HFR,540p,1300,2.08729970033162
404,Cricket2_HEVC_HFR_396p_900K_90,52.609610417264655,Cricket2_90,HEVC,HFR,396p,900,6.772106108145827
405,TNFF_HEVC_SFR_540p_1900K_16,59.04921532816148,TNFF_16,HEVC,SFR,540p,1900,6.072951534440634
406,Cricket2_AVC_HFR_540p_1300K_90,49.69772912838809,Cricket2_90,AVC,HFR,540p,1300,3.8602248192692628
407,Cricket2_AVC_HFR_396p_600K_90,46.00980841345111,Cricket2_90,AVC,HFR,396p,600,0.17230410433228371
408,USOpen_HEVC_HFR_720p_2200K_0,51.897786482758626,USOpen_0,HEVC,HFR,720p,2200,-1.3606328419212872
409,USOpen_HEVC_HFR_540p_1100K_166,50.05316874428841,USOpen_166,HEVC,HFR,540p,1100,-4.091660701433142
410,Cricket1_AVC_HFR_396p_600K_86,46.057034613173755,Cricket1_86,AVC,HFR,396p,600,-8.076290894344737
411,USOpen_AVC_HFR_396p_600K_166,51.592241827456846,USOpen_166,AVC,HFR,396p,600,-2.5525876182647096
412,Cricket2_HEVC_SFR_396p_600K_90,51.530741082279505,Cricket2_90,HEVC,SFR,396p,600,5.6932367731606774
413,EPLDay_HEVC_SFR_396p_600K_0,47.55037557224204,EPLDay_0,HEVC,SFR,396p,600,-6.813716030297684
414,USOpen_HEVC_HFR_288p_300K_166,54.91409924109083,USOpen_166,HEVC,HFR,288p,300,0.7692697953692758
415,TNFF_AVC_SFR_720p_2000K_144,49.52650599775343,TNFF_144,AVC,SFR,720p,2000,-2.3458418139414547
416,TNFNFL_HEVC_SFR_540p_1900K_0,53.276915562155466,TNFNFL_0,HEVC,SFR,540p,1900,-0.529779242021192
417,Cricket2_HEVC_HFR_396p_600K_90,47.118027762246356,Cricket2_90,HEVC,HFR,396p,600,1.280523453127529
418,EPLNight_AVC_HFR_396p_600K_0,53.36038362989333,EPLNight_0,AVC,HFR,396p,600,0.581580067824369
419,Cricket1_AVC_SFR_720p_2000K_86,52.39835006896551,Cricket1_86,AVC,SFR,720p,2000,-1.7349754385529792
420,TNFF_HEVC_SFR_396p_900K_16,52.17487279320722,TNFF_16,HEVC,SFR,396p,900,-0.8013910005136253
421,EPLNight_AVC_SFR_540p_1800K_0,50.92317984484448,EPLNight_0,AVC,SFR,540p,1800,-1.855623717224475
423,TNFF_HEVC_HFR_396p_600K_16,48.19985274390937,TNFF_16,HEVC,HFR,396p,600,-4.776411049811479
424,USOpen_AVC_HFR_288p_300K_166,40.413705528203906,USOpen_166,AVC,HFR,288p,300,-13.73112391751765
426,USOpen_HEVC_HFR_540p_1900K_166,51.78616197991042,USOpen_166,HEVC,HFR,540p,1900,-2.3586674658111377
427,TNFF_AVC_SFR_720p_2000K_16,46.91442213357401,TNFF_16,AVC,SFR,720p,2000,-6.06184166014684
428,USOpen_HEVC_SFR_288p_300K_0,46.76399558620689,USOpen_0,HEVC,SFR,288p,300,-6.494423738473024
429,TNFF_HEVC_HFR_540p_1900K_16,45.17945433248195,TNFF_16,HEVC,HFR,540p,1900,-7.796809461238894
430,TNFNFL_AVC_HFR_540p_1300K_0,48.30029959235042,TNFNFL_0,AVC,HFR,540p,1300,-5.506395211826238
431,USOpen_AVC_SFR_540p_1800K_166,45.13226685181503,USOpen_166,AVC,SFR,540p,1800,-9.012562593906523
432,TNFNFL_HEVC_HFR_540p_1100K_0,48.89038759573418,TNFNFL_0,HEVC,HFR,540p,1100,-4.9163072084424755
433,TNFF_HEVC_SFR_288p_300K_16,47.014622674017474,TNFF_16,HEVC,SFR,288p,300,-5.961641119703373
434,EPLDay_AVC_SFR_540p_1200K_0,44.63583027586206,EPLDay_0,AVC,SFR,540p,1200,-9.72826132667766
435,Cricket1_HEVC_SFR_396p_600K_86,49.52259966357455,Cricket1_86,HEVC,SFR,396p,600,-4.610725843943939
436,EPLNight_HEVC_HFR_540p_1100K_0,51.49817015343713,EPLNight_0,HEVC,HFR,540p,1100,-1.2806334086318287
437,TNFNFL_HEVC_SFR_288p_300K_0,50.68681226924248,TNFNFL_0,HEVC,SFR,288p,300,-3.1198825349341774
438,Cricket2_HEVC_HFR_720p_2200K_90,52.23800670798412,Cricket2_90,HEVC,HFR,720p,2200,6.400502398865292
440,Cricket1_AVC_SFR_540p_1200K_86,52.01169453571428,Cricket1_86,AVC,SFR,540p,1200,-2.1216309718042154
441,TNFNFL_HEVC_SFR_540p_1100K_0,51.52279303448275,TNFNFL_0,HEVC,SFR,540p,1100,-2.2839017696939052
442,TNFNFL_HEVC_HFR_540p_1900K_0,52.82172004529352,TNFNFL_0,HEVC,HFR,540p,1900,-0.9849747588831406
443,EPLNight_AVC_HFR_288p_300K_0,45.1628774270649,EPLNight_0,AVC,HFR,288p,300,-7.6159261350040595
444,EPLDay_HEVC_HFR_540p_1100K_0,52.90479105611357,EPLDay_0,HEVC,HFR,540p,1100,-1.4593005464261566
445,Cricket1_HEVC_HFR_540p_1900K_86,50.080517836688074,Cricket1_86,HEVC,HFR,540p,1900,-4.052807670830418
446,TNFNFL_AVC_HFR_396p_900K_0,43.13779003311929,TNFNFL_0,AVC,HFR,396p,900,-10.66890477105737
447,TNFF_HEVC_SFR_396p_600K_16,48.070694096561326,TNFF_16,HEVC,SFR,396p,600,-4.905569697159521
448,TNFF_AVC_HFR_540p_1900K_144,52.77608236979544,TNFF_144,AVC,HFR,540p,1900,0.9037345581005525
449,TNFF_AVC_SFR_540p_1800K_16,53.16885657794902,TNFF_16,AVC,SFR,540p,1800,0.19259278422817516
450,EPLDay_HEVC_HFR_540p_1900K_8,49.532591644502254,EPLDay_8,HEVC,HFR,540p,1900,-6.570082274020834
451,USOpen_HEVC_HFR_540p_1900K_0,52.11924599625253,USOpen_0,HEVC,HFR,540p,1900,-1.1391733284273826
452,TNFF_HEVC_HFR_396p_600K_144,50.181817950111714,TNFF_144,HEVC,HFR,396p,600,-1.6905298615831725
453,EPLDay_HEVC_SFR_540p_1100K_8,51.58220641554248,EPLDay_8,HEVC,SFR,540p,1100,-4.520467502980608
