,video,mos_list,content,codec,fr,res,bitrate
14,USOpen_HEVC_HFR_288p_300K_0,"[38, 21, 8, 19, 3, 46, 1, 8, 49, 29, 35, 21, 32, 37, 23, 19, 16, 41, 19, 35, 32, 33, 33, 26, 27, 7, 50, 7, 26, 41]",USOpen_0,HEVC,HFR,288p,300
15,USOpen_AVC_HFR_720p_2200K_166,"[52, 73, 59, 75, 83, 59, 56, 27, 67, 66, 91, 60, 80, 100, 72, 74, 43, 64, 72, 85, 57, 65, 49, 81, 73, 84, 72, 34, 80, 60, 73, 71]",USOpen_166,AVC,HFR,720p,2200
16,USOpen_HEVC_SFR_396p_600K_0,"[46, 15, 38, 66, 42, 42, 50, 15, 28, 55, 32, 55, 57, 54, 13, 62, 44, 39, 39, 46, 37, 48, 36, 50, 55, 26, 41, 14, 50, 35, 39, 46]",USOpen_0,HEVC,SFR,396p,600
17,TNFF_HEVC_HFR_288p_300K_16,"[21, 5, 2, 26, 5, 28, 2, 11, 31, 6, 13, 1, 10, 7, 21, 8, 4, 28, 22, 5, 40, 37, 26, 23, 11, 7, 13, 26, 20]",TNFF_16,HEVC,HFR,288p,300
18,Cricket1_HEVC_HFR_720p_2200K_86,"[41, 47, 67, 78, 41, 23, 41, 29, 88, 93, 56, 87, 81, 58, 73, 46, 70, 81, 72, 79, 96, 75, 87, 75, 43, 51, 17, 48, 59, 64, 81]",Cricket1_86,HEVC,HFR,720p,2200
19,TNFF_AVC_SFR_396p_800K_16,"[29, 35, 22, 46, 25, 27, 22, 40, 50, 43, 27, 35, 49, 45, 41, 14, 36, 37, 25, 42, 38, 29, 48, 27, 41, 66, 61, 31, 50, 38]",TNFF_16,AVC,SFR,396p,800
20,TNFF_HEVC_HFR_288p_300K_144,"[9, 1, 7, 2, 23, 2, 28, 8, 24, 37, 4, 9, 1, 1, 10, 3, 25, 6, 10, 1, 1, 10, 10, 15, 53, 22, 26, 9, 1, 17, 14, 5]",TNFF_144,HEVC,HFR,288p,300
21,EPLDay_AVC_HFR_540p_1900K_8,"[60, 64, 68, 45, 28, 30, 28, 60, 82, 81, 51, 68, 51, 56, 54, 53, 34, 64, 73, 53, 76, 41, 81, 51, 52, 49, 50, 48, 74, 73]",EPLDay_8,AVC,HFR,540p,1900
22,Cricket1_AVC_HFR_540p_1300K_86,"[38, 27, 37, 51, 41, 44, 40, 14, 74, 75, 29, 70, 43, 31, 54, 67, 34, 47, 47, 73, 31, 73, 40, 62, 42, 17, 41, 21, 40, 37, 54, 46]",Cricket1_86,AVC,HFR,540p,1300
23,TNFF_AVC_SFR_720p_2000K_16,"[55, 20, 30, 69, 49, 28, 45, 42, 83, 76, 77, 55, 63, 71, 28, 59, 44, 36, 55, 75, 82, 72, 75, 71, 78, 49, 50, 43, 58, 41, 80, 65]",TNFF_16,AVC,SFR,720p,2000
24,USOpen_AVC_SFR_396p_400K_166,"[25, 4, 45, 43, 27, 28, 37, 11, 42, 50, 23, 43, 26, 37, 33, 25, 9, 14, 30, 38, 42, 10, 35, 25, 51, 44, 30, 32, 36, 54, 43, 43]",USOpen_166,AVC,SFR,396p,400
25,Cricket1_HEVC_SFR_540p_1100K_86,"[41, 55, 25, 75, 44, 43, 23, 45, 56, 44, 75, 77, 36, 50, 39, 42, 77, 38, 45, 81, 50, 70, 83, 49, 42, 41, 30, 29, 72, 35]",Cricket1_86,HEVC,SFR,540p,1100
26,TNFF_HEVC_HFR_540p_1100K_16,"[28, 1, 24, 64, 49, 58, 35, 1, 37, 72, 32, 49, 65, 41, 51, 33, 21, 38, 47, 28, 77, 37, 66, 38, 46, 21, 48, 36, 56, 34]",TNFF_16,HEVC,HFR,540p,1100
27,Cricket2_HEVC_HFR_720p_2200K_90,"[30, 25, 55, 50, 65, 17, 41, 28, 91, 89, 65, 97, 80, 66, 58, 82, 40, 75, 78, 63, 80, 99, 50, 87, 46, 50, 49, 10, 50, 36, 48, 43]",Cricket2_90,HEVC,HFR,720p,2200
28,TNFF_AVC_SFR_288p_200K_144,"[4, 1, 2, 27, 13, 4, 20, 1, 1, 28, 1, 11, 7, 30, 32, 17, 3, 1, 1, 1, 1, 29, 41, 2, 10, 2, 1, 25, 1, 5]",TNFF_144,AVC,SFR,288p,200
29,USOpen_AVC_SFR_396p_800K_0,"[35, 5, 40, 22, 46, 24, 41, 21, 59, 60, 62, 43, 55, 39, 59, 37, 34, 38, 48, 48, 42, 44, 39, 53, 57, 39, 51, 48, 37, 28, 58]",USOpen_0,AVC,SFR,396p,800
30,USOpen_AVC_HFR_396p_900K_166,"[28, 15, 58, 27, 28, 49, 33, 27, 59, 58, 42, 62, 41, 48, 40, 21, 33, 14, 42, 59, 49, 53, 49, 47, 26, 25, 66, 70, 38]",USOpen_166,AVC,HFR,396p,900
31,TNFNFL_HEVC_SFR_720p_2200K_0,"[59, 37, 35, 64, 52, 43, 41, 30, 49, 78, 76, 60, 86, 45, 57, 50, 45, 26, 50, 83, 78, 76, 79, 65, 62, 51, 59, 60, 78, 69, 49]",TNFNFL_0,HEVC,SFR,720p,2200
32,Cricket1_SRC_SRC_SRC_SRC_86,"[42, 51, 52, 72, 54, 23, 8, 52, 94, 93, 49, 98, 95, 55, 77, 60, 75, 87, 85, 75, 97, 85, 100, 86, 74, 49, 17, 25, 47, 76, 62]",Cricket1_86,SRC,SRC,SRC,100000
33,USOpen_AVC_SFR_540p_1800K_166,"[47, 79, 45, 65, 56, 56, 50, 32, 39, 77, 48, 45, 76, 80, 64, 73, 31, 43, 52, 74, 75, 86, 48, 85, 80, 60, 65, 26, 59, 82, 76]",USOpen_166,AVC,SFR,540p,1800
34,USOpen_AVC_HFR_540p_1900K_0,"[63, 35, 33, 52, 77, 53, 30, 39, 60, 54, 77, 66, 73, 59, 24, 66, 42, 47, 50, 67, 85, 60, 75, 75, 49, 49, 83, 58, 69, 65]",USOpen_0,AVC,HFR,540p,1900
35,EPLDay_SRC_SRC_SRC_SRC_8,"[81, 97, 88, 90, 87, 73, 70, 69, 100, 85, 99, 100, 100, 100, 98, 94, 99, 99, 100, 99, 99, 73, 100, 100, 99, 84, 82, 100, 98, 99, 100]",EPLDay_8,SRC,SRC,SRC,100000
36,TNFF_AVC_SFR_396p_800K_144,"[11, 14, 38, 40, 1, 31, 22, 9, 57, 11, 50, 12, 64, 38, 29, 25, 18, 14, 48, 8, 37, 34, 39, 22, 38, 28, 24, 49, 24, 35]",TNFF_144,AVC,SFR,396p,800
37,EPLDay_HEVC_HFR_396p_600K_8,"[18, 9, 28, 27, 10, 23, 22, 22, 40, 20, 54, 18, 45, 17, 18, 22, 30, 23, 34, 29, 26, 49, 42, 28, 36, 24, 32, 37, 28, 34]",EPLDay_8,HEVC,HFR,396p,600
38,TNFNFL_AVC_HFR_720p_2200K_0,"[27, 7, 62, 43, 16, 48, 27, 82, 77, 50, 73, 64, 90, 61, 40, 27, 45, 27, 50, 64, 60, 26, 82, 45, 38, 40, 70, 67, 73, 55]",TNFNFL_0,AVC,HFR,720p,2200
39,TNFF_AVC_HFR_396p_900K_16,"[25, 22, 15, 46, 29, 38, 28, 48, 58, 25, 32, 24, 48, 22, 41, 29, 13, 34, 74, 25, 58, 33, 52, 38, 61, 43, 46, 48, 38, 30, 34]",TNFF_16,AVC,HFR,396p,900
40,TNFF_AVC_HFR_720p_2200K_144,"[42, 57, 66, 49, 54, 38, 25, 66, 66, 76, 45, 41, 61, 57, 41, 35, 39, 73, 87, 45, 60, 76, 70, 42, 18, 73, 60, 84, 60]",TNFF_144,AVC,HFR,720p,2200
41,TNFF_AVC_SFR_396p_400K_16,"[13, 16, 45, 32, 2, 25, 27, 11, 52, 21, 32, 8, 38, 19, 35, 17, 12, 10, 38, 14, 59, 32, 1, 46, 3, 23, 10, 48, 20, 26, 37]",TNFF_16,AVC,SFR,396p,400
42,USOpen_SRC_SRC_SRC_SRC_0,"[51, 47, 73, 44, 63, 52, 70, 85, 94, 100, 73, 91, 91, 63, 71, 71, 93, 89, 100, 55, 76, 53, 100, 52, 34, 43, 38, 85, 53, 99, 70]",USOpen_0,SRC,SRC,SRC,100000
43,TNFNFL_AVC_HFR_540p_1900K_0,"[31, 18, 21, 46, 45, 4, 47, 28, 48, 91, 24, 35, 69, 33, 48, 17, 23, 26, 42, 66, 47, 33, 45, 62, 37, 51, 64, 49, 35, 63]",TNFNFL_0,AVC,HFR,540p,1900
44,USOpen_AVC_SFR_288p_200K_166,"[4, 15, 8, 20, 1, 24, 5, 18, 47, 4, 12, 1, 7, 29, 14, 5, 5, 1, 4, 4, 15, 12, 39, 13, 3, 1, 26, 12, 11]",USOpen_166,AVC,SFR,288p,200
45,USOpen_AVC_SFR_288p_200K_0,"[17, 1, 33, 60, 26, 8, 22, 39, 15, 38, 12, 25, 27, 13, 50, 24, 24, 24, 37, 25, 3, 32, 28, 65, 12, 26, 24, 15, 35, 46, 34, 26]",USOpen_0,AVC,SFR,288p,200
46,EPLDay_AVC_HFR_540p_1300K_8,"[47, 21, 45, 59, 43, 24, 35, 34, 45, 80, 54, 59, 27, 43, 63, 27, 19, 44, 31, 73, 35, 53, 23, 54, 22, 44, 35, 38, 53, 47, 49, 74]",EPLDay_8,AVC,HFR,540p,1300
47,EPLDay_AVC_HFR_540p_1300K_0,"[43, 28, 49, 50, 45, 27, 50, 31, 66, 56, 51, 80, 69, 61, 36, 51, 32, 27, 56, 60, 52, 55, 41, 55, 43, 50, 31, 70, 65, 58, 46]",EPLDay_0,AVC,HFR,540p,1300
48,EPLNight_HEVC_SFR_540p_1900K_0,"[40, 75, 63, 74, 61, 25, 50, 29, 83, 89, 78, 64, 52, 90, 44, 29, 38, 72, 37, 61, 77, 48, 44, 67, 54, 57, 9, 73, 72, 68, 68]",EPLNight_0,HEVC,SFR,540p,1900
49,TNFNFL_SRC_SRC_SRC_SRC_0,"[70, 63, 70, 68, 64, 60, 49, 13, 95, 93, 63, 100, 91, 56, 83, 56, 55, 69, 75, 80, 92, 72, 76, 64, 75, 59, 100, 80, 74, 88, 76]",TNFNFL_0,SRC,SRC,SRC,100000
50,USOpen_HEVC_SFR_720p_2200K_166,"[61, 56, 63, 71, 62, 44, 48, 25, 100, 94, 91, 91, 80, 91, 65, 51, 79, 58, 80, 97, 79, 48, 87, 78, 32, 49, 79, 100, 58]",USOpen_166,HEVC,SFR,720p,2200
51,Cricket1_HEVC_HFR_396p_600K_86,"[34, 1, 31, 64, 42, 25, 31, 9, 39, 38, 42, 55, 63, 45, 18, 11, 37, 19, 32, 62, 27, 36, 35, 57, 58, 34, 36, 5, 34, 27, 55, 23]",Cricket1_86,HEVC,HFR,396p,600
52,Cricket2_HEVC_SFR_396p_900K_90,"[40, 26, 57, 49, 20, 18, 34, 36, 44, 46, 62, 25, 57, 18, 23, 20, 30, 42, 50, 27, 57, 42, 50, 49, 42, 41, 8, 49, 21, 39, 35]",Cricket2_90,HEVC,SFR,396p,900
53,EPLNight_HEVC_HFR_288p_300K_0,"[25, 9, 2, 26, 2, 33, 5, 17, 34, 16, 29, 1, 35, 8, 15, 3, 11, 1, 18, 55, 23, 1, 19, 27, 26, 26, 12, 22, 7, 22]",EPLNight_0,HEVC,HFR,288p,300
54,Cricket1_HEVC_SFR_288p_300K_86,"[27, 17, 4, 29, 9, 1, 1, 21, 38, 17, 37, 36, 20, 40, 24, 5, 13, 49, 16, 21, 25, 22, 3, 30, 1, 12, 36, 3, 10]",Cricket1_86,HEVC,SFR,288p,300
55,EPLNight_AVC_SFR_720p_2000K_0,"[51, 61, 77, 63, 48, 31, 41, 61, 71, 88, 79, 84, 60, 76, 73, 54, 80, 73, 79, 85, 51, 57, 88, 75, 72, 49, 56, 85, 80]",EPLNight_0,AVC,SFR,720p,2000
56,Cricket2_AVC_SFR_540p_1200K_90,"[38, 27, 47, 46, 48, 23, 50, 30, 29, 60, 51, 61, 68, 16, 47, 36, 47, 51, 51, 35, 82, 45, 74, 51, 44, 37, 22, 61, 47, 65, 36]",Cricket2_90,AVC,SFR,540p,1200
57,EPLDay_AVC_SFR_540p_1200K_0,"[40, 43, 47, 47, 29, 35, 2, 6, 72, 52, 54, 23, 24, 49, 27, 40, 64, 60, 35, 42, 47, 57, 48, 41, 32, 47, 40, 61, 58]",EPLDay_0,AVC,SFR,540p,1200
58,TNFF_HEVC_SFR_396p_600K_144,"[25, 24, 51, 20, 21, 34, 24, 11, 55, 33, 43, 12, 28, 43, 28, 18, 28, 25, 71, 36, 28, 26, 35, 25, 36, 39, 35, 32, 45, 32]",TNFF_144,HEVC,SFR,396p,600
59,Cricket2_AVC_SFR_396p_400K_90,"[32, 31, 11, 32, 11, 28, 29, 11, 48, 31, 26, 25, 17, 43, 21, 20, 51, 38, 29, 45, 31, 22, 10, 24, 22, 24, 47, 40, 50]",Cricket2_90,AVC,SFR,396p,400
60,EPLNight_AVC_HFR_396p_600K_0,"[32, 5, 39, 30, 29, 9, 36, 25, 38, 46, 41, 54, 28, 41, 23, 28, 33, 39, 30, 26, 31, 36, 50, 38, 25, 30, 25, 51, 31, 47]",EPLNight_0,AVC,HFR,396p,600
61,USOpen_AVC_HFR_540p_1300K_0,"[59, 30, 35, 66, 65, 44, 41, 37, 68, 86, 57, 74, 87, 79, 70, 22, 51, 56, 61, 62, 49, 49, 47, 51, 44, 56, 25, 46, 73, 88]",USOpen_0,AVC,HFR,540p,1300
62,EPLNight_AVC_HFR_540p_1300K_0,"[57, 50, 48, 74, 52, 29, 31, 37, 34, 66, 90, 83, 70, 47, 47, 30, 24, 26, 74, 79, 72, 44, 75, 57, 42, 65, 49, 62, 72, 61]",EPLNight_0,AVC,HFR,540p,1300
63,TNFNFL_HEVC_HFR_396p_600K_0,"[6, 9, 25, 21, 4, 37, 1, 47, 35, 9, 31, 26, 26, 29, 10, 19, 14, 26, 53, 26, 40, 5, 61, 35, 32, 24, 53, 23, 24, 24]",TNFNFL_0,HEVC,HFR,396p,600
64,USOpen_HEVC_SFR_288p_300K_166,"[26, 33, 37, 28, 10, 34, 1, 32, 46, 12, 24, 23, 36, 15, 24, 12, 35, 22, 25, 21, 33, 32, 67, 43, 43, 33, 10, 12, 37, 28, 27]",USOpen_166,HEVC,SFR,288p,300
65,TNFF_HEVC_HFR_396p_900K_16,"[48, 1, 23, 36, 46, 6, 28, 14, 37, 56, 45, 33, 25, 22, 24, 23, 20, 34, 49, 45, 84, 38, 25, 51, 43, 43, 32, 48, 51, 45, 53]",TNFF_16,HEVC,HFR,396p,900
66,USOpen_AVC_SFR_396p_800K_166,"[30, 40, 71, 47, 20, 36, 9, 23, 58, 45, 50, 38, 8, 69, 34, 25, 40, 51, 17, 60, 36, 27, 42, 49, 49, 16, 34, 30, 60, 43]",USOpen_166,AVC,SFR,396p,800
67,EPLNight_AVC_SFR_396p_800K_0,"[24, 1, 24, 16, 37, 21, 50, 22, 51, 39, 44, 50, 26, 57, 62, 44, 32, 20, 32, 60, 43, 42, 27, 40, 52, 37, 29, 48, 44, 32, 42]",EPLNight_0,AVC,SFR,396p,800
68,TNFF_AVC_HFR_540p_1900K_16,"[38, 32, 32, 53, 53, 43, 27, 35, 76, 95, 43, 65, 67, 69, 54, 79, 57, 24, 58, 61, 23, 65, 73, 49, 49, 45, 43, 67, 83, 46, 72, 67]",TNFF_16,AVC,HFR,540p,1900
69,EPLDay_AVC_SFR_540p_1800K_0,"[42, 39, 44, 66, 48, 25, 49, 27, 32, 80, 59, 64, 65, 48, 49, 51, 54, 49, 61, 23, 71, 43, 45, 62, 42, 25, 75, 63, 55, 57]",EPLDay_0,AVC,SFR,540p,1800
70,Cricket1_HEVC_HFR_288p_300K_86,"[19, 1, 24, 10, 36, 21, 38, 7, 14, 36, 17, 40, 25, 13, 28, 25, 11, 22, 25, 5, 60, 24, 21, 25, 33, 1, 37, 20, 6, 9]",Cricket1_86,HEVC,HFR,288p,300
71,USOpen_HEVC_HFR_396p_900K_0,"[41, 51, 25, 49, 32, 38, 25, 46, 43, 46, 49, 48, 90, 45, 47, 35, 27, 45, 49, 15, 41, 44, 72, 47, 42, 29, 60, 31, 48, 56]",USOpen_0,HEVC,HFR,396p,900
72,TNFF_HEVC_HFR_396p_900K_144,"[35, 26, 48, 35, 6, 46, 1, 40, 39, 30, 50, 1, 19, 35, 62, 34, 21, 26, 25, 44, 34, 34, 40, 24, 27, 35, 48, 43, 46, 28]",TNFF_144,HEVC,HFR,396p,900
73,USOpen_AVC_SFR_540p_1800K_0,"[37, 52, 54, 34, 60, 38, 49, 46, 61, 59, 21, 66, 73, 61, 59, 46, 44, 55, 49, 69, 72, 37, 73, 55, 84, 50, 40, 73, 61, 51, 35]",USOpen_0,AVC,SFR,540p,1800
74,Cricket2_SRC_SRC_SRC_SRC_90,"[39, 80, 44, 71, 55, 32, 49, 72, 51, 85, 74, 100, 69, 89, 43, 74, 61, 96, 94, 74, 61, 98, 57, 68, 62, 60, 46, 49, 40, 92, 35]",Cricket2_90,SRC,SRC,SRC,100000
75,EPLDay_HEVC_SFR_396p_900K_8,"[38, 37, 25, 43, 15, 21, 28, 13, 55, 56, 51, 36, 44, 41, 29, 36, 22, 27, 23, 33, 27, 54, 35, 33, 26, 25, 66, 24, 37]",EPLDay_8,HEVC,SFR,396p,900
76,Cricket2_AVC_HFR_396p_600K_90,"[26, 1, 24, 21, 44, 3, 46, 39, 31, 55, 38, 33, 36, 21, 44, 22, 18, 12, 30, 38, 33, 62, 42, 43, 7, 26, 1, 26, 18, 45, 24]",Cricket2_90,AVC,HFR,396p,600
77,EPLNight_HEVC_SFR_540p_1100K_0,"[32, 48, 59, 76, 42, 26, 52, 33, 13, 61, 80, 50, 78, 60, 56, 55, 39, 57, 61, 35, 68, 65, 50, 44, 63, 39, 23, 71, 69, 49, 76]",EPLNight_0,HEVC,SFR,540p,1100
78,Cricket1_AVC_SFR_720p_2000K_86,"[51, 29, 57, 38, 22, 43, 23, 78, 93, 45, 97, 54, 55, 52, 29, 70, 72, 60, 56, 92, 61, 63, 48, 44, 26, 47, 38, 66, 53]",Cricket1_86,AVC,SFR,720p,2000
79,TNFF_AVC_HFR_396p_600K_16,"[30, 19, 58, 37, 5, 25, 13, 20, 66, 26, 38, 54, 37, 40, 56, 38, 12, 33, 37, 25, 41, 37, 27, 41, 51, 33, 26, 39, 24, 22, 35]",TNFF_16,AVC,HFR,396p,600
80,EPLDay_HEVC_SFR_540p_1100K_0,"[49, 29, 39, 37, 28, 40, 43, 57, 73, 43, 49, 42, 61, 42, 65, 47, 50, 64, 62, 69, 59, 49, 69, 61, 40, 38, 68, 47, 52, 46]",EPLDay_0,HEVC,SFR,540p,1100
81,EPLDay_HEVC_SFR_396p_600K_8,"[31, 31, 27, 40, 12, 32, 24, 47, 55, 49, 39, 36, 33, 16, 51, 27, 26, 44, 28, 25, 51, 32, 49, 35, 42, 26, 23, 30, 27, 29]",EPLDay_8,HEVC,SFR,396p,600
82,EPLDay_HEVC_HFR_540p_1100K_0,"[38, 33, 49, 48, 30, 27, 38, 29, 49, 57, 74, 43, 24, 69, 35, 37, 27, 74, 47, 32, 43, 66, 47, 43, 39, 24, 68, 34, 68, 55]",EPLDay_0,HEVC,HFR,540p,1100
83,Cricket1_AVC_SFR_540p_1800K_86,"[42, 37, 65, 54, 13, 47, 38, 26, 88, 47, 47, 81, 80, 57, 63, 55, 43, 51, 62, 81, 97, 42, 55, 51, 40, 15, 60, 58, 74, 43]",Cricket1_86,AVC,SFR,540p,1800
84,TNFNFL_HEVC_SFR_540p_1900K_0,"[50, 48, 36, 62, 51, 26, 29, 35, 36, 89, 54, 55, 85, 63, 46, 47, 37, 43, 73, 73, 73, 65, 54, 71, 50, 49, 60, 24, 60, 74, 40]",TNFNFL_0,HEVC,SFR,540p,1900
85,EPLDay_HEVC_SFR_720p_2200K_0,"[59, 52, 60, 59, 51, 56, 36, 79, 99, 74, 86, 86, 83, 86, 59, 74, 94, 52, 74, 92, 52, 100, 48, 85, 54, 70, 82, 60, 75, 84]",EPLDay_0,HEVC,SFR,720p,2200
86,USOpen_HEVC_HFR_720p_2200K_166,"[49, 75, 70, 65, 74, 63, 62, 36, 83, 98, 89, 75, 90, 66, 90, 73, 70, 78, 100, 78, 89, 41, 77, 76, 64, 92, 28, 77, 100, 80]",USOpen_166,HEVC,HFR,720p,2200
87,TNFF_AVC_SFR_540p_1200K_144,"[27, 51, 44, 58, 52, 28, 34, 5, 41, 72, 47, 55, 38, 5, 46, 27, 37, 21, 32, 49, 32, 59, 50, 34, 44, 48, 43, 43, 27, 41, 50, 54]",TNFF_144,AVC,SFR,540p,1200
88,USOpen_AVC_SFR_540p_1200K_0,"[30, 63, 41, 74, 50, 48, 35, 37, 64, 70, 84, 72, 75, 64, 57, 73, 44, 42, 41, 71, 49, 64, 44, 63, 58, 63, 25, 64, 37, 50, 38]",USOpen_0,AVC,SFR,540p,1200
89,Cricket1_HEVC_HFR_396p_900K_86,"[33, 1, 33, 30, 44, 28, 31, 1, 28, 38, 29, 40, 38, 32, 44, 43, 39, 38, 51, 36, 60, 39, 47, 3, 42, 25, 47, 19, 29, 20]",Cricket1_86,HEVC,HFR,396p,900
90,EPLDay_HEVC_HFR_540p_1100K_8,"[51, 48, 58, 42, 23, 49, 35, 67, 72, 47, 42, 43, 64, 50, 35, 42, 55, 50, 50, 70, 45, 80, 70, 37, 42, 46, 59, 68, 65, 58]",EPLDay_8,HEVC,HFR,540p,1100
91,TNFNFL_HEVC_SFR_288p_300K_0,"[14, 1, 3, 39, 13, 5, 29, 16, 10, 39, 1, 31, 1, 4, 17, 8, 12, 11, 24, 13, 17, 30, 6, 34, 6, 25, 19, 35, 23, 4, 6]",TNFNFL_0,HEVC,SFR,288p,300
92,TNFF_HEVC_SFR_396p_600K_16,"[32, 39, 42, 38, 20, 29, 48, 43, 65, 21, 41, 37, 52, 36, 17, 33, 26, 50, 17, 57, 41, 44, 45, 40, 36, 13, 49, 23, 39, 36]",TNFF_16,HEVC,SFR,396p,600
93,USOpen_AVC_SFR_720p_2000K_0,"[33, 66, 57, 61, 49, 62, 47, 37, 72, 100, 98, 32, 94, 83, 64, 53, 58, 73, 61, 84, 84, 61, 79, 47, 60, 48, 81, 42, 73, 73]",USOpen_0,AVC,SFR,720p,2000
94,Cricket2_HEVC_SFR_720p_2200K_90,"[40, 52, 54, 40, 44, 27, 37, 34, 88, 95, 65, 73, 48, 91, 68, 63, 52, 65, 75, 90, 58, 63, 47, 71, 28, 47, 51, 37, 61, 55, 66, 55]",Cricket2_90,HEVC,SFR,720p,2200
95,TNFNFL_HEVC_SFR_540p_1100K_0,"[35, 36, 57, 65, 10, 41, 28, 69, 73, 49, 41, 53, 58, 44, 54, 22, 43, 49, 67, 52, 36, 71, 49, 38, 37, 57, 39, 59, 38]",TNFNFL_0,HEVC,SFR,540p,1100
96,TNFF_HEVC_SFR_540p_1900K_16,"[54, 26, 46, 58, 59, 51, 56, 24, 68, 95, 78, 49, 95, 74, 54, 75, 59, 49, 58, 60, 94, 91, 49, 92, 74, 50, 62, 14, 83, 69, 65, 81]",TNFF_16,HEVC,SFR,540p,1900
97,EPLNight_HEVC_SFR_720p_2200K_0,"[47, 68, 81, 64, 41, 48, 49, 72, 79, 79, 71, 48, 84, 83, 63, 61, 73, 82, 100, 91, 81, 60, 80, 70, 64, 49, 68, 84, 78, 84, 71]",EPLNight_0,HEVC,SFR,720p,2200
98,Cricket2_AVC_HFR_720p_2200K_90,"[43, 64, 56, 53, 48, 27, 45, 45, 39, 70, 63, 66, 64, 62, 30, 51, 39, 61, 86, 63, 48, 93, 51, 55, 23, 44, 23, 75, 52, 61, 46]",Cricket2_90,AVC,HFR,720p,2200
